Bubble_Threshold,Momentum_Lookback,Hold_Period,Top_N,Total_Return,Annual_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Data_Points
-0.6,10,16,5,-0.5450046229942853,-0.10076620847742146,-3.95535068959156,-0.5517893884187612,3.940767114419809,12358
-0.6,10,8,10,-0.6031267967349032,-0.11719070208980953,-3.9682574441662246,-0.6079887750418844,4.03525796538897,12366
-0.6,30,8,10,-0.6007224357580842,-0.11647121824757778,-4.013324437159771,-0.6172426004563186,3.9526972298720238,12346
-0.5,10,8,5,-0.7681113285375849,-0.17891128236544906,-4.082476743857108,-0.7747647254109311,5.951803331715996,12366
-0.6,20,8,10,-0.6027720340856586,-0.11708430574432849,-4.108925390037752,-0.60892872408147,3.998057623826481,12356
-0.7,10,16,10,-0.39389717682068415,-0.06530428743448102,-4.120665598703882,-0.3957244591339586,2.095808383233533,12358
-0.6,20,16,5,-0.5900857629344749,-0.11333257570323663,-4.208452690930854,-0.6125578843896894,3.8953676708778753,12348
-0.7,30,16,10,-0.4002535164798001,-0.06663244974446647,-4.222595648311159,-0.42228852801461625,2.1316258712919436,12338
-0.6,30,24,5,-0.5475428925840626,-0.10144446710452948,-4.325613611726587,-0.5893835557738256,3.576642335766423,12330
-0.7,20,24,10,-0.38611736239427596,-0.06369499161826142,-4.350958316173014,-0.40781676822440394,1.9448946515397085,12340
-0.5,20,8,5,-0.8073782145080081,-0.1992030761537268,-4.573725198866568,-0.8109237939874538,5.835221754613143,12356
-0.7,30,24,10,-0.3949018728067315,-0.06551341524273158,-4.579440800670167,-0.4181783081252819,1.8085969180859691,12330
-0.5,30,8,5,-0.8071305662868595,-0.19906428800891618,-4.595199733639837,-0.8187303635945514,6.001943949457314,12346
-0.7,10,40,5,-0.3693688468487324,-0.06028949588104893,-4.60304860447261,-0.3715046228342441,1.88908707637425,12334
-0.6,20,24,5,-0.5822189327357477,-0.1110562649221879,-4.68099507004168,-0.6075447151943093,3.4683954619124795,12340
-0.7,10,24,10,-0.38819986718617094,-0.06412403156611146,-4.834421881543747,-0.39535974150794784,1.959514170040486,12350
-0.6,10,24,5,-0.5657116757965961,-0.10639787781107757,-4.921481928875516,-0.5730430497244748,3.4412955465587043,12350
-0.5,10,16,5,-0.7228335457170422,-0.1589188532068705,-5.0874177290464235,-0.7295794030454167,5.421589253924583,12358
-0.7,20,40,5,-0.41393575708966435,-0.06953319539320024,-5.18594443913127,-0.4162935015465504,1.525478740668614,12324
-0.6,30,16,10,-0.5927067807488688,-0.11409937833521777,-5.283172215232251,-0.6209809248959328,3.4203274436699624,12338
-0.6,20,16,10,-0.5952409506835029,-0.11484484278673712,-5.286185010378914,-0.6177170289892617,3.4499514091350827,12348
-0.5,10,8,10,-0.7963269137173643,-0.1931547322904299,-5.318453435355964,-0.8012006563521553,5.369561701439431,12366
-0.5,20,8,10,-0.7985229688008134,-0.19433362927940978,-5.36768638553145,-0.8025320970993699,5.349627711233409,12356
-0.6,10,16,10,-0.5882259634201381,-0.11279104300512788,-5.452332221134213,-0.5941237954222462,3.447159734584884,12358
-0.7,30,40,5,-0.4236124791563586,-0.07162031945654046,-5.475843096694668,-0.42566464197537557,1.4698716907584861,12314
-0.5,30,8,10,-0.8041147304745885,-0.1973863941765419,-5.499825625522604,-0.8135613826373936,5.410659322857605,12346
-0.5,30,16,5,-0.7671839526923897,-0.17846914438663863,-5.600391435675938,-0.7865690100272711,5.211541578862052,12338
-0.5,20,16,5,-0.7860391767397608,-0.1877742919663865,-5.814793919880784,-0.7983611558735997,5.126336248785228,12348
-0.6,30,24,10,-0.5899006304532203,-0.113278574043437,-5.933179862271999,-0.6139613124213568,2.9440389294403895,12330
-0.6,20,24,10,-0.5901378508268089,-0.11334777312696032,-5.937399342035439,-0.6111252449391524,3.128038897893031,12340
-0.7,10,40,10,-0.4124688472295692,-0.06921941130286313,-6.191543821445436,-0.41400063395651876,1.564780282146911,12334
-0.5,30,24,5,-0.7597184291184447,-0.1749643241010499,-6.3530680409830795,-0.7781301237594994,4.6796431467964315,12330
-0.5,10,24,5,-0.7369137620811834,-0.16481263577344907,-6.376453420258998,-0.7443643091249292,4.809716599190283,12350
-0.7,20,40,10,-0.43570091553470414,-0.074270628931286,-6.4881149668028195,-0.43783147609471207,1.2171372930866602,12324
-0.7,30,40,10,-0.44391189422950905,-0.07609898568542073,-6.581774255452735,-0.44504412766129464,1.1044339775864869,12314
