Low_Bubble_Entry,Leverage_Multiplier,Leverage_Hold_Days,High_Bubble_Entry,UVXY_Allocation,UVXY_Hold_Days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown
-0.9,1.35,40,0.85,0.4,50,709717.395893348,0.5808156959035127,1.2192403448082545,1.8529943358429268,-0.6225623705360339
-0.9,1.25,40,0.85,0.5,30,996314.8140928994,0.5991470824150957,1.2029943212821235,1.849262723039246,-0.6528021134759732
-0.9,1.25,60,0.85,0.5,30,1020795.5132538008,0.6004670703875661,1.2023420551824522,1.8502841438793325,-0.6528021134759732
-0.9,1.3,40,0.85,0.5,30,1011775.9192939105,0.599984331641108,1.2005321379776086,1.842815327076415,-0.6528021134759732
-0.9,1.3,60,0.85,0.5,30,1041043.330065834,0.6015359186964024,1.1996838794611477,1.8437991424562825,-0.6528021134759732
-0.9,1.25,50,0.85,0.5,30,960996.2923215363,0.5971864385145262,1.199511250693395,1.8443123420836383,-0.6528021134759732
-0.9,1.35,40,0.85,0.5,30,1026069.1205703417,0.6007474144138749,1.1978923575767673,1.8357835506140965,-0.6528021134759732
-0.9,1.35,60,0.85,0.5,30,1060021.8128890865,0.602519682261226,1.196830526921403,1.836664528702943,-0.6528021134759732
-0.9,1.3,50,0.85,0.5,30,968648.0516442091,0.5976170517119008,1.1963459091129973,1.8368006815151154,-0.6528021134759732
-0.9,1.35,50,0.85,0.5,30,974941.7412429928,0.5979687818628847,1.1930030078484113,1.828688774600509,-0.6528021134759732
-0.9,1.25,60,0.85,0.5,40,887064.6921048481,0.5928463619446558,1.1817265512368325,1.8172200675855292,-0.6632809793512898
-0.9,1.25,50,0.85,0.5,40,855374.574440693,0.5908779937856745,1.1804345217364627,1.8140920000856815,-0.6737058901408549
-0.9,1.25,40,0.85,0.5,40,841780.1689098509,0.590011922747262,1.1802293506909043,1.8123680960490849,-0.6528021134759732
-0.9,1.3,60,0.85,0.5,40,906701.0986939908,0.59403222891742,1.179538702888703,1.811839808691172,-0.6654553309083349
-0.9,1.3,50,0.85,0.5,40,868269.5602085288,0.5916873049011013,1.178034224791272,1.8082302929582008,-0.6778263436200052
-0.9,1.3,40,0.85,0.5,40,851947.450921685,0.5906609192107395,1.1778174520091964,1.8062629149037228,-0.6528021134759732
-0.9,1.35,60,0.85,0.5,40,925335.773092368,0.5951348764066509,1.1771612215080172,1.8058288380087901,-0.6676893113862497
-0.9,1.35,50,0.85,0.5,40,880093.5409408243,0.5924192577800809,1.1754576510946984,1.8017802570311723,-0.6819589663256347
-0.9,1.35,40,0.85,0.5,40,861070.3722024049,0.5912369148594248,1.1752375832210733,1.7995977443296636,-0.6528021134759732
-0.9,1.25,60,0.85,0.5,50,758213.5421903384,0.5843713181562993,1.1662134350082523,1.7982770742353873,-0.6306890886295369
-0.9,1.25,50,0.85,0.5,50,730008.2527094906,0.5823310894807994,1.1648834075117238,1.7948290633661965,-0.638160087428165
-0.9,1.3,60,0.85,0.5,50,774274.020858827,0.5855005311790253,1.1641542838911207,1.7931527828660319,-0.6341507910650482
-0.9,1.3,50,0.85,0.5,50,740111.1300800036,0.5830704987040738,1.1626067886568048,1.7891605096894327,-0.6419682672319253
-0.9,1.35,60,0.85,0.5,50,789467.1150197017,0.5865481218803545,1.1619111289244142,1.7874088777524695,-0.6376255599372187
-0.9,1.25,40,0.85,0.5,50,674416.3001532591,0.5780766724036794,1.1607746779445736,1.786243828143334,-0.6364186761459889
-0.9,1.35,50,0.85,0.5,50,749298.8898314479,0.5837345153000946,1.1601603240130822,1.7829155066870026,-0.6458091750158237
