UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
60,52,-0.2,52,5,1.1755012499719348,1.8078780772232377,0.800828262512066,-0.9998377080325891,77.36049065387017,0.5096632795377565,5019
60,52,-0.6,52,5,1.1654387221755773,1.8592468789973848,0.9558124947254454,-0.9996095412012094,143.52037985688733,0.5167768174885613,3934
80,104,-0.4,26,3,1.1606571003489976,1.701031712331113,0.9838277875859169,-0.9975182402077842,159.59209264570515,0.5097147581645308,7257
80,104,-0.4,26,10,1.1596038282497505,1.6880137744727295,0.9906115421433472,-0.9967347981320241,163.70846581162837,0.5088819226750261,6699
60,52,-0.6,52,10,1.154177550234008,1.8375925038092509,0.9301538190322871,-0.999488699095742,130.04095150792637,0.5181723779854621,3852
40,52,-0.4,52,10,1.1477768880618653,1.8586974622949033,0.8804686229988596,-0.9995919171292388,107.00309690105253,0.5162123385939742,3485
60,208,-0.2,52,5,1.146255330483874,1.8622340373587205,0.8498587728108886,-0.9996899665406317,94.62954284899185,0.5131883387320685,4322
40,208,-0.2,52,10,1.1330616463513186,1.916502091846499,0.9073415875027695,-0.999059620983156,118.98439362092044,0.5136663524976437,3183
40,208,-0.2,52,5,1.1330616463513186,1.916502091846499,0.9073415875027695,-0.999059620983156,118.98439362092044,0.5136663524976437,3183
60,104,-0.4,52,5,1.123029073448615,1.746116038869499,0.7832419260825512,-0.9993747826628943,71.86148503375414,0.5087719298245614,4047
80,52,-0.4,26,10,1.117035221357348,1.6706069917586337,0.8750270409947376,-0.9943810258421452,104.70734115058835,0.5097389142146705,7239
60,208,-0.2,52,10,1.1098144249188773,1.7842701956476386,0.7319303787798661,-0.9997986058960946,57.67977564073654,0.5132311977715878,4308
60,104,-0.4,52,3,1.1014967388429648,1.7494394862852491,0.7179127857345675,-0.9996070072081457,54.24865734275817,0.5062141491395793,4184
60,104,-0.4,52,10,1.087642655538568,1.6907895356804203,0.6934168496646429,-0.9995346185364895,48.66817959398443,0.5072427572427572,4004
60,208,-0.2,52,3,1.0870785000037317,1.7389843950563613,0.6373140530450307,-0.9997897430433766,37.68975395211025,0.5106145251396648,4475
40,52,-0.6,52,3,1.0839741418807227,1.7488030360503934,0.7685475225069165,-0.9978575900686075,67.5259732045263,0.5173089483997387,3062
80,104,-0.2,26,10,1.0534429313645934,1.682810004910081,0.7542608268724875,-0.9993839137340434,63.526563469989824,0.5034402180968454,7703
80,52,-0.4,26,5,1.0509138823388269,1.5653212506121876,0.7081516319974892,-0.9962847680597675,51.96318771845605,0.5080069977122864,7431
80,104,-0.2,26,5,1.0493880120552355,1.6678682742903927,0.7356725807710163,-0.9993661697030498,58.62634932511328,0.5089432956996067,7883
80,208,-0.4,52,3,1.0358779425360998,1.684739112616238,0.5435681805223269,-0.9999325353835348,23.989021428268416,0.5078897538396802,4753
40,52,-0.6,52,5,1.0303878712405963,1.646731830486577,0.6452807938197507,-0.9978625810942472,39.10746163950377,0.5150388644812437,2959
40,52,-0.6,52,10,1.0166666976717105,1.6210993236659863,0.6136556317861317,-0.998069643650193,33.73205406151726,0.5146159075458872,2942
80,52,-0.8,52,5,1.0023679455857173,1.6895661870755885,0.697375308308857,-0.9964630364791172,49.535453335013486,0.516270337922403,3196
40,52,-0.2,52,10,0.9934768205667375,1.5071962687583098,0.38570634880357324,-0.9995798945838049,10.229605103366243,0.5126229072548498,3763
40,52,-0.8,52,3,0.9922806604527352,1.6027180080725805,0.6783458554742037,-0.9785497305817289,45.48294338333161,0.5234021137393055,1987
80,156,-0.2,26,3,0.9821240929709436,1.4168002363688148,0.5129047996136147,-0.9990242983748321,20.534816533619694,0.5111650485436893,8240
40,52,-0.2,52,3,0.9748444956472556,1.4867892919008456,0.3223625605775231,-0.9997303087815179,6.937889804271957,0.5130054081895442,3883
60,156,-0.2,52,10,0.9705246937128401,1.5181167370126631,0.34562814325748437,-0.9999807413132892,8.033650633136885,0.5156110615521855,4484
40,52,-0.2,52,5,0.9685551684571626,1.4696276929742196,0.32703778134123906,-0.9996901208519363,7.148336846564426,0.5109933774834438,3775
