ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
1000,-0.5,26,8,5,-0.19567623597248163,-0.055073803771145236,-3.1246861006756124,-0.19573615286109425,1.398150139815014,201
252,-0.5,6,13,10,-0.14339973678395623,-0.03946702581567352,-3.1284837755075268,-0.15526478892540108,1.106236887278276,192
500,-0.5,13,8,5,-0.23643618712102754,-0.06777173885432797,-3.1322330213299634,-0.23772986654493977,1.5519820493642482,244
500,-0.3,13,13,5,-0.1641245553669547,-0.045567626081223445,-3.143386399674316,-0.16542263938144008,1.3686726048229414,204
1000,-0.3,13,8,5,-0.2134500428467252,-0.06055092193429523,-3.1446993806918266,-0.21656417602493527,2.231718898385565,264
500,-0.5,6,4,5,-0.4341504270994666,-0.13768633403796104,-3.1530568691856065,-0.4387156698532908,2.808194984104557,466
1000,-0.5,26,8,10,-0.1753013915910805,-0.04890423446971981,-3.1581791983530993,-0.1753013915910805,1.398150139815014,201
500,-0.3,6,4,5,-0.45827944047390057,-0.14740699964101245,-3.1642806411375,-0.47017726731635734,4.437187860161352,618
500,-0.5,26,8,5,-0.22802224066576116,-0.06511017358655025,-3.1691639947879113,-0.23792565506802854,1.3649962602842185,244
252,-0.3,26,13,5,-0.17743273808920257,-0.049544296090802464,-3.1787543284827917,-0.19110702688142334,1.781394325929184,250
500,-0.5,26,26,10,-0.07792530046649593,-0.02088451872327246,-3.181029123215739,-0.0791081880260237,0.3867290860981071,85
252,-0.5,26,26,10,-0.08802079269956598,-0.02368469297447995,-3.21093490280706,-0.09183204254118482,0.5378568473314025,108
500,-0.3,13,4,5,-0.4448686374322167,-0.14196566437189562,-3.2186848009439157,-0.44868693697854334,4.206684594698425,618
1000,-0.3,13,4,5,-0.40536838412826115,-0.1264843047697367,-3.2226031619838253,-0.41028878262363866,4.108681245858184,511
500,-0.5,13,13,5,-0.1506737600143876,-0.04159565849970426,-3.2384398914529715,-0.1540771515502224,0.7934971937294368,157
1000,-0.3,6,13,10,-0.1447558544068156,-0.03986285613086049,-3.2441634385506735,-0.14595330210923774,1.1349617567234147,167
1000,-0.3,13,8,10,-0.20006871784299518,-0.056418980485339554,-3.248074417194278,-0.20617926460063152,2.207977207977208,264
252,-0.3,6,13,5,-0.19314266016412285,-0.0543003781075847,-3.258887172491205,-0.19800965565540085,1.715416758302177,250
