ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
500,-0.7,13,8,5,-0.13637872392001849,-0.03742507910746351,-2.2982377474664277,-0.13979076014780434,0.6411310208778563,139
252,-0.7,26,13,10,-0.08649982396796296,-0.023261361262327362,-2.3175731409975318,-0.09490256295601818,0.5481218765113655,112
1000,-0.7,13,26,10,-0.041740503460777845,-0.01103062161977808,-2.3274852485255106,-0.041740503460777845,0.22389578668837776,45
1000,-0.7,26,26,10,-0.035875819996166514,-0.0094595841812678,-2.3321027442428677,-0.03598613660016414,0.22389578668837776,45
500,-0.7,26,8,5,-0.13539975175778152,-0.03714133775448214,-2.3346877301766655,-0.13600805747308053,0.6904487917146145,139
1000,-0.5,6,26,5,-0.05909695473040011,-0.01572215367442198,-2.3540155737791526,-0.05909695473040011,0.5100857871551124,69
252,-0.5,6,13,5,-0.1326738329358781,-0.03635251881092971,-2.356706019763181,-0.14467004705934228,1.296967385084875,192
500,-0.7,26,4,5,-0.23051344692910247,-0.06589596550291055,-2.3670493483356307,-0.2330798373042393,1.300761421319797,252
1000,-0.7,13,8,5,-0.1250248681045817,-0.03414883338038388,-2.3892080081304083,-0.12581934331946454,0.6746337702390132,124
500,-0.7,6,13,10,-0.07129341896962316,-0.01905736344125364,-2.3990998178624103,-0.07289539419605262,0.33698399326032014,93
252,-0.5,6,26,5,-0.07998349642408187,-0.02145355057008147,-2.4001728587362536,-0.08761939937982077,0.6206040546131568,108
1000,-0.5,6,13,10,-0.09594351413851021,-0.0258983134549311,-2.4038189134315826,-0.09619929845695319,0.9277667329357191,127
1000,-0.5,26,13,5,-0.1024321322624655,-0.02772195892225615,-2.404079686897136,-0.10264536250931477,0.905677048818202,127
1000,-0.7,26,13,5,-0.0834119318956772,-0.022403508762789293,-2.4054170851945607,-0.0834119318956772,0.411522633744856,79
252,-0.5,13,26,5,-0.07821542062568454,-0.020964671651047873,-2.428264743932815,-0.08491571026242006,0.5585436491518411,108
500,-0.7,13,4,10,-0.22166003598184658,-0.06311184616071597,-2.431025412348879,-0.23072006534544576,1.2214467005076142,252
252,-0.7,6,8,10,-0.14768157478347288,-0.04071841408082999,-2.4449846527969923,-0.15277915063916425,0.6641952425084956,154
1000,-0.5,13,13,10,-0.09457461122881017,-0.02551481698093816,-2.4534533493035724,-0.09461650927104348,1.0382151535233046,127
