MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
104,-0.8,52,5,1.4468208957468212,2.0798264524091845,-0.14759450646375327,0.23376690664289557,3.746914903356549,0.5485751295336787,1544
208,-0.6,8,10,1.4261210086521863,2.101199680605147,-0.08974251909232256,0.16003268259017212,2.0059980315556385,0.5420808482438702,1509
208,-0.8,8,3,1.3798920266066197,2.0057205450631477,-0.11730424025796105,0.17340868851879687,2.2726838071431215,0.5257731958762887,1455
208,-0.6,52,10,1.3681062335154135,1.9673223647551088,-0.1925983864772306,0.2199753102784625,3.3673223817245965,0.5449256625727213,1547
52,-0.4,26,10,1.3633328192858991,1.9680677559170698,-0.13900115983734185,0.1990877667584361,2.842456752640553,0.5319284802043422,1566
156,-0.4,26,10,1.3385816351811128,1.9213548168378454,-0.18167870408362563,0.1969525913940624,2.792017252619486,0.5482200647249191,1545
208,-0.8,52,3,1.3344106091295784,1.844677626313603,-0.1512074924761242,0.22816966012000983,3.589553484728378,0.5452179570592063,1537
52,-0.8,13,3,1.3269254012661236,2.0871638062190687,-0.12892617559162844,0.17437504814415639,2.292719261352326,0.5148048452220727,1486
208,-0.4,26,10,1.3136383988279088,1.8775678246061354,-0.1938906219826072,0.19384579501233312,2.7196484592185,0.5422853453841188,1549
156,-0.8,4,5,1.3112528958248633,2.040491785994309,-0.11533356856994048,0.14707181432296124,1.7657360224138006,0.5324137931034483,1450
156,-0.6,26,5,1.2979746786572353,1.8682416841348584,-0.1696807928345423,0.19286295468421577,2.6970046950619295,0.5480706344015697,1529
156,-0.6,8,10,1.2972699443668905,1.899769816596008,-0.10087143684029576,0.14420781764434487,1.714946365471194,0.5371845949535192,1506
52,-0.6,52,10,1.2918054842358309,1.8508667323414065,-0.15750668944939084,0.19894845281576568,2.839148114911914,0.5360824742268041,1552
104,-0.8,52,3,1.2910307945876496,1.8262906637393443,-0.15226075277294837,0.20823774950075413,3.06523921780006,0.5472797927461139,1544
104,-0.6,26,5,1.2837226044326875,1.8166419880903582,-0.13204669494253563,0.19256333519226243,2.6901254920358713,0.5361757105943152,1548
156,-0.4,52,10,1.2785451764542575,1.8321705664141452,-0.18763804365961778,0.20226441174902288,2.9185729235481697,0.5419896640826873,1548
104,-0.6,52,10,1.2682867756838307,1.6940115131586966,-0.1771632574136659,0.20879605922063105,3.0791871871813115,0.5504761904761905,1575
208,-0.6,26,5,1.2658235795395585,1.8031524541927044,-0.16968079283454207,0.19068566685622224,2.647266223612199,0.5453951665578054,1531
52,-0.8,26,3,1.2642834418261444,1.8981396268762862,-0.14282345622092785,0.1746870060512946,2.299209674205113,0.528865295288653,1507
208,-0.4,52,10,1.2580761727992393,1.8117754096408298,-0.1967034885165333,0.1979610653606696,2.815768704723969,0.539057456423499,1549
156,-0.6,52,5,1.249746809963352,1.7828707740234895,-0.13861610482844755,0.1978110565724558,2.8122275893735913,0.5453955901426718,1542
156,-0.8,52,3,1.2490792556330614,1.820327880606141,-0.15273583125232937,0.20052140320034528,2.8766484867587025,0.5399867812293456,1513
52,-0.8,52,5,1.2412049685821906,1.7579083727364797,-0.15339505888784855,0.19007724905211254,2.6334713074480387,0.5355297157622739,1548
104,-0.4,26,10,1.2303338303014981,1.7411674319102184,-0.1816787040836252,0.18483301658356877,2.5164257693838574,0.5355329949238579,1576
208,-0.6,13,5,1.2225053879065384,1.7267155299913708,-0.14912711355644037,0.16423606949124725,2.0876989162045083,0.5368906455862977,1518
