Date,A,B,C,D,E
2021-05-05,0.0006256315376158561,-0.0,0.0,-0.0,0.0
2021-05-06,0.015971328346298108,0.0,0.003992832086574527,0.0,0.0
2021-05-07,0.01455596199300846,0.0,0.003638990498252115,0.0,0.0
2021-05-10,-0.019804659521929002,-0.0,0.0,-0.0,0.0
2021-05-11,-0.017849492359911956,-0.0,0.0,-0.0,0.0
2021-05-12,0.021245431416581972,-0.0,0.0,-0.0,0.0
2021-05-13,-0.012012438956138682,0.0,0.0,0.0,0.0
2021-05-14,0.03071122594834419,0.0,0.007677806487086047,0.0,0.0
2021-05-17,-0.005089052137567496,-0.0,-0.001272263034391874,-0.0,0.0
2021-05-18,0.00861555122605473,-0.0,0.0,-0.0,0.0
2021-05-19,0.002621967784601442,0.0,0.0,0.0,0.0
2021-05-20,-0.010758001121178529,0.0,0.005379000560589264,0.0,0.0
2021-05-21,0.0008188335331962282,-0.0,-0.0004094167665981141,-0.0,0.0
2021-05-24,0.020388473672539487,0.0,0.005097118418134872,0.0,0.0
2021-05-25,-0.004437119141817103,0.0,-0.0011092797854542757,0.0,0.0
2021-05-26,-0.0019845106296942916,0.0,0.0,0.0,0.0
2021-05-27,0.0010496248304652234,-0.0,0.00026240620761630584,-0.0,0.0
2021-05-28,0.0035777001505423733,0.0,0.0008944250376355933,0.0,0.0
2021-06-01,-0.0017616188784308484,-0.0,-0.0004404047196077121,-0.0,0.0
2021-06-02,0.003144995390028882,0.0,0.0007862488475072205,0.0,0.0
2021-06-03,0.0037114153774517877,-0.0,0.0,-0.0,0.0
2021-06-04,0.018291945968083922,0.0,0.004572986492020981,0.0,0.0
2021-06-07,-0.0019405316506218018,0.0,-0.00048513291265545044,0.0,0.0
2021-06-08,0.00042674649524565567,0.0,0.0,0.0,0.0
2021-06-09,-0.0029842669058743887,0.0,0.0,0.0,0.0
2021-06-10,0.009297071957805603,0.0,0.0023242679894514007,0.0,0.0
2021-06-11,0.003305030359875616,0.0,0.000826257589968904,0.0,0.0
2021-06-14,0.00447793237960159,0.0,0.0011194830949003975,0.0,0.0
2021-06-15,-0.0036688495617243078,-0.0,-0.0009172123904310769,-0.0,0.0
2021-06-16,-0.01116641049136402,-0.0,0.0,-0.0,0.0
2021-06-17,-0.000663386015110623,0.0,0.0,0.0,0.0
2021-06-18,-0.026980661030686415,-0.0,0.0,-0.0,0.0
2021-06-21,0.02863171306215051,0.0,0.0071579282655376275,0.0,0.0
2021-06-22,0.010692705890073206,0.0,0.0026731764725183016,0.0,0.0
2021-06-23,-0.0024106453260128724,0.0,-0.0006026613315032181,0.0,0.0
2021-06-24,0.011831333559342294,0.0,0.0029578333898355735,0.0,0.0
2021-06-25,0.007104154529917306,-0.0,0.0017760386324793265,-0.0,0.0
2021-06-28,0.004031908370465853,0.0,0.0010079770926164633,0.0,0.0
2021-06-29,0.0010763850133499453,0.0,0.0002690962533374863,0.0,0.0
2021-06-30,0.0016830028816343656,-0.0,0.0004207507204085914,-0.0,0.0
2021-07-01,0.011073128756125428,0.0,0.002768282189031357,0.0,0.0
2021-07-02,0.015287183250985326,0.0,0.0038217958127463314,0.0,0.0
2021-07-06,-0.0036426247923755373,0.0,-0.0009106561980938843,0.0,0.0
2021-07-07,0.007067745474802045,0.0,0.0017669363687005113,0.0,0.0
2021-07-08,-0.01629605186370875,-0.0,0.0,-0.0,0.0
2021-07-09,0.021349906502331706,0.0,0.0053374766255829265,0.0,0.0
2021-07-12,0.007163458985880666,0.0,0.0017908647464701666,0.0,0.0
2021-07-13,-0.006817934401337267,0.0,-0.0017044836003343167,0.0,0.0
2021-07-14,0.00298488112327,0.0,0.0,0.0,0.0
2021-07-15,-0.0068315090045329985,-0.0,0.0,-0.0,0.0
2021-07-16,-0.015686932562835487,-0.0,0.0,-0.0,0.0
2021-07-19,-0.029535700907934004,-0.0,0.0,-0.0,0.0
2021-07-20,0.02866104044141249,0.0,0.0,0.0,0.0
2021-07-21,0.01619202928334129,0.0,0.004048007320835323,0.0,0.0
2021-07-22,0.0041883250327292565,0.0,0.0010470812581823141,0.0,0.0
2021-07-23,0.020575964871369035,0.0,0.005143991217842259,0.0,0.0
