ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,sortino,max_dd,win_rate,n_trades,total_ret
252,-0.6,20,65,5,0.30381843023388555,1.4524440473496294,2.9906708130444897,-0.21059081748286346,63.934426229508205,61,3.7184066900341692
500,-0.8,52,130,20,0.08451967082212475,1.4478161217732426,4.134722877618742,-0.03136353550851345,80.0,15,0.6072012003748462
2000,-0.6,10,26,5,0.09412500329538931,1.4473115863389376,21.46348514982716,-0.03171512654423703,88.23529411764706,17,0.6922534441615937
2000,-0.6,10,20,20,0.07166930901339819,1.4471518138469721,3.322750823475852,-0.03304271197319031,80.0,20,0.4989840128109626
500,-0.3,13,130,5,0.3389556620569829,1.442661890355181,3.7270285592097028,-0.14138102668226293,77.14285714285715,35,4.512326864032753
2000,-0.5,20,130,20,0.11105741607044428,1.441463204291122,0.0,-0.013381643056869508,90.9090909090909,11,0.8512681133171653
500,-0.1,78,40,5,0.3337414495844264,1.4403335471867693,3.542539147648218,-0.1775117169715258,61.206896551724135,116,4.387969921940528
252,-0.15,10,104,10,0.24338528149333327,1.4400726371626247,3.6407411517756025,-0.14710076637607616,63.934426229508205,61,2.5748590683104116
1500,-0.8,6,65,20,0.052514012970361845,1.4388381720119168,7.303574583819235,-0.027152050122618676,84.61538461538461,13,0.3489311280645089
500,-0.8,78,65,20,0.09802441847806365,1.4339098064550344,15.890291050165942,-0.02637122927606106,82.6086956521739,23,0.727829829652427
500,-0.7,52,65,10,0.15877018672398258,1.433301262726965,3.7026151576693525,-0.06116793973229506,72.22222222222221,36,1.367333480251335
252,-0.1,26,104,10,0.276425635484677,1.4273483292289417,3.557308103413495,-0.18130105733891377,63.49206349206349,63,3.167417510991731
2000,-0.6,78,65,20,0.06014936649285052,1.4271892414168619,0.0,-0.02478266677260399,90.0,10,0.4071740132649817
2000,-0.5,10,104,5,0.11546403852330434,1.4267022925061885,3.8832333789830704,-0.043703960090875626,83.33333333333334,12,0.8946218133663761
2000,-0.5,3,20,5,0.10764511606547167,1.4257458210816831,3.3353947435601827,-0.048654467131135304,73.52941176470588,34,0.818264722540164
500,-0.15,78,40,5,0.3294122364799301,1.424034105734575,3.2738824515621032,-0.1848613481174156,59.82142857142857,112,4.286495359501038
2000,-0.5,26,130,5,0.15222775319157678,1.418717729555106,0.0,-0.043386025190353505,90.9090909090909,11,1.2902305118598338
2000,-0.6,10,40,10,0.06371170209154742,1.4185145260869794,8.201236171649638,-0.01624809002876282,83.33333333333334,12,0.43505222251546183
2000,-0.5,3,65,20,0.07044252113399918,1.4169976732619645,9.680904521475522,-0.04142792171315812,81.25,16,0.4889768333879321
252,-0.6,26,78,5,0.29386485166174037,1.4114258233770225,4.2305288504032115,-0.11702626394379134,70.37037037037037,54,3.511613530023854
252,-0.3,20,104,5,0.3183289328085197,1.4076975326216081,3.792823410959362,-0.1416440174560626,71.9298245614035,57,4.033904830005449
252,-0.6,2,130,20,0.20829013570798316,1.4057351211636737,2.392052056057943,-0.186110354416829,75.0,36,2.023718816074119
2000,-0.5,26,65,10,0.09586276290097318,1.4024632105253054,5.008507703035586,-0.03444422951340664,75.0,16,0.7080321508172203
252,-0.15,26,104,20,0.23681830382763924,1.3998207972989065,3.832958490183926,-0.11128873627794744,59.01639344262295,61,2.465847698518831
2000,-0.5,26,104,20,0.09360581752710195,1.3985538949132592,9.965320015872459,-0.017655202955007554,75.0,12,0.6875627973250362
500,-0.7,13,130,10,0.15179779885132905,1.398306538808222,3.0819014291243945,-0.08171503043174733,72.0,25,1.2852372837644217
252,-0.15,20,104,20,0.22866663138287024,1.3967649158817985,3.6743984354080226,-0.13451652179935647,62.295081967213115,61,2.3343778468294256
252,-0.15,52,104,10,0.28587464432242715,1.3965169651329163,3.5784041088617893,-0.14320300286542287,59.01639344262295,61,3.351099207578182
1000,-0.5,10,130,5,0.15770207353476318,1.395842705466679,4.088927756169511,-0.08325592080842137,81.81818181818183,22,1.3546007917800917
1000,-0.6,26,130,5,0.13766584304033014,1.393666645420108,4.532512433999708,-0.08255696528265977,84.21052631578947,19,1.126066468685921
252,-0.7,52,52,10,0.21276856586445714,1.3916709224669617,3.373331774883567,-0.13037368410485162,66.66666666666666,57,2.089850549913148
500,-0.8,26,130,20,0.09240942357806126,1.3906755977332468,6.330683896844773,-0.026995086878538244,73.33333333333333,15,0.6767948539243109
252,-0.1,3,104,10,0.317996025421613,1.389447095013666,3.982991424113881,-0.14895614027046578,68.25396825396825,63,4.0264754967964
2000,-0.6,13,20,10,0.08364423727746884,1.3890362422316282,3.3476230627270827,-0.06356304966950432,75.0,20,0.5996290838331386
2000,-0.5,10,104,20,0.11877292256074545,1.385240448023086,5.8040105238387625,-0.04091310298442841,75.0,12,0.927726006059528
252,-0.1,26,104,5,0.3571284718078076,1.384858465610351,4.811921176302135,-0.18883525518728006,63.49206349206349,63,4.964498320562327
252,-0.6,3,130,5,0.26044394229493184,1.3845500261666053,2.1450053980666013,-0.2229559789804082,69.44444444444444,36,2.8713870130187686
252,-0.5,3,130,10,0.2395388806074905,1.3843507524281888,3.0527685688210284,-0.11434180499086721,65.0,40,2.51066973733591
252,-0.15,26,104,5,0.3627192302698308,1.3830900551557679,5.087099470784556,-0.15611055038224741,63.934426229508205,61,5.109633526873934
2000,-0.5,13,52,5,0.10612761996436348,1.3824990887250783,2.505271691906523,-0.06497081911563873,76.47058823529412,17,0.8037451795116204
252,-0.2,40,104,10,0.3035999890160952,1.380036417070491,3.1324157545492946,-0.13249225511053087,66.10169491525424,59,3.713785567394761
252,-0.15,52,104,5,0.4113919770698451,1.3746948411734723,4.45684609509001,-0.15158625465406683,60.65573770491803,61,6.5014772977367095
2000,-0.5,26,78,10,0.09161785675116318,1.3742409456349383,6.0142873001669255,-0.026738680735230447,76.92307692307693,13,0.6697018480353045
500,-0.7,20,130,10,0.13139972011171963,1.3732308984335746,1.8128325705267305,-0.10458146578073502,76.0,25,1.0584930350714177
2000,-0.6,2,20,10,0.09122906399526265,1.3695511738075066,2.8650728289283554,-0.041989044523245145,80.0,20,0.6662271061603893
252,-0.7,78,52,10,0.22122473816956978,1.3691059732691715,2.6540171304691933,-0.12840208820874366,68.42105263157895,57,2.217991600417753
2000,-0.6,26,65,10,0.062474644462953366,1.3663988479342797,12.179257180570987,-0.015920450747013093,80.0,10,0.42531980959489113
