MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
156,-0.9,8,20,2.238074786933568,3.3279038142044315,-0.09638903472732618,0.3574999935673495,8.641540069951652,0.5614161849710982,1384
208,-0.7,8,20,2.232765245640188,3.510532631863562,-0.07936298110211293,0.25732711348144677,4.461595008841321,0.5532484929671801,1493
156,-0.9,6,20,2.2310520046520557,3.4309201365154656,-0.11856532329582603,0.3716107982215948,9.409828460312792,0.5567086730911787,1349
208,-0.8,26,20,2.2238283870925595,3.521293858135089,-0.09918100286424603,0.35561327743443893,8.542630951316145,0.5540809555408096,1507
156,-0.8,26,10,2.222304866907597,3.5201587328435315,-0.10975948091943566,0.34416493928357594,7.961075579348156,0.5484301937207748,1497
156,-0.7,13,20,2.2138231075892776,3.364274399656044,-0.096319308799656,0.296770005403024,5.867161149578467,0.5657104736490994,1499
52,-0.8,8,20,2.2105607617623666,3.542362968922041,-0.0799844882878924,0.24666038818352143,4.127272841920769,0.5494579945799458,1476
104,-0.8,6,20,2.204528328494272,3.759891856590233,-0.06952680575764714,0.27007877248362866,4.885872776528276,0.5410726408689749,1473
208,-0.9,8,20,2.2003180348477436,3.4910421076373916,-0.1175966746080892,0.37043456805385944,9.343824616396747,0.5521292217327459,1362
156,-0.7,26,20,2.1983956089808525,3.330406755011994,-0.10195988590728111,0.33515005611624704,7.524963834716578,0.5626649076517151,1516
208,-0.8,13,10,2.1950972071652974,3.440606013315138,-0.11549106525869801,0.31873614499908953,6.777907092853171,0.5499660095173351,1471
104,-0.8,26,20,2.190307977294038,3.4191612863425553,-0.11981256270099627,0.33115101521203316,7.33746112434836,0.5452145214521452,1515
156,-0.9,4,5,2.185953339364569,3.580581670999603,-0.11117049720410632,0.3357630008962822,7.554022905642967,0.5401188707280832,1346
104,-0.7,26,20,2.1724952441506695,3.314808847190252,-0.11080003479729095,0.326014830856425,7.101882617771315,0.5476501305483029,1532
