Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
120,1.5,3,10,LONG,0.06695985794067383,0.2991773163616606,0.4353778044242652,-0.76705146,2428,5.7319913
60,2.5,10,20,LONG,0.0675058364868164,0.2973459508403179,0.4956972893122668,-0.9442306,734,5.8340693
10,1.5,5,20,LONG,0.061934828758239746,0.2874184524572913,0.3712363213179428,-0.6924933,1479,4.8590035
60,2.5,10,10,LONG,0.06158292293548584,0.283356388821229,0.46987026817807603,-0.9413123,734,4.8021445
10,1.0,5,20,LONG,0.060703396797180176,0.2829090327820435,0.36493029694803236,-0.69817173,1479,4.662373
40,2.0,10,5,LONG,0.0553508996963501,0.28221925096835443,0.38502370273293846,-0.82625616,737,3.8793116
40,1.5,10,5,LONG,0.05597639083862305,0.28050018805839133,0.3870866378893299,-0.78561497,737,3.9651146
40,1.0,10,5,LONG,0.055449604988098145,0.2791098575442846,0.3850920558021466,-0.78561485,737,3.892754
60,1.0,3,20,LONG,0.058342576026916504,0.27287544197512503,0.3669642168992389,-0.7396581,2448,4.303086
60,2.5,10,5,LONG,0.050818681716918945,0.2652019327220074,0.45074665870038166,-0.96122813,734,3.299007
120,1.5,3,20,LONG,0.05562484264373779,0.2618291550477608,0.3594373818038309,-0.74952054,2428,3.916708
40,1.5,5,10,LONG,0.05123257637023926,0.2497126428886793,0.34545321274414176,-0.7000706,1473,3.3491068
40,1.0,5,10,LONG,0.050298452377319336,0.24665061962602608,0.3409839741076668,-0.70617867,1473,3.2368307
10,1.5,5,10,LONG,0.049234747886657715,0.2425547873980649,0.3362213357488315,-0.7173231,1479,3.1123781
10,1.0,5,10,LONG,0.04732096195220947,0.2361203171500282,0.3268434660011798,-0.71767354,1479,2.8973207
120,2.0,3,10,LONG,0.045114874839782715,0.2358935011169248,0.3300013302725331,-0.87733555,2428,2.6628923
20,1.0,5,10,LONG,0.044631004333496094,0.22817500622567682,0.31700210172230486,-0.72877455,1477,2.6133285
120,2.0,5,10,LONG,0.04226577281951904,0.22645364533019574,0.30427376867864436,-0.7304876,1457,2.3802109
