ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,max_dd,win_rate,n_trades,total_ret
2000,-0.7,2,13,5,0.0009718725739187306,4.871538351623836,-0.007592029489788654,52.94117647058824,17,0.005696964982865094
2000,-0.8,6,8,20,0.0009393685200200785,4.733428871391615,-0.010453812216021818,53.84615384615385,13,0.005505997407636354
2000,-0.6,2,20,20,0.0006292856013352388,4.729455042854363,-0.005184802286382184,45.0,20,0.003685711370013056
2000,-0.6,2,52,10,0.00034656093884533057,4.539986755054375,-0.005390718686425711,36.36363636363637,11,0.0020284087853947863
2000,-0.6,20,13,5,0.0014598226654891633,4.5004059295751855,-0.011100902344731156,51.724137931034484,29,0.00856738134459989
2000,-0.6,10,8,5,0.002448333398801017,4.38365415913264,-0.010862222826341528,45.23809523809524,42,0.014403216303845001
2000,-0.6,2,52,5,0.00035854824858372325,4.3593310303758,-0.006520950409174997,45.45454545454545,11,0.002098631063933931
2000,-0.6,20,20,20,0.0005377954366763138,4.2311180166710916,-0.006595866654075189,50.0,20,0.0031491570313997297
2000,-0.6,26,20,5,0.0007570528002633914,4.200331541325668,-0.007889470884147487,60.0,20,0.004435414548364713
2000,-0.7,3,6,5,0.0032238946517311184,4.066002294090939,-0.025602400112797352,60.0,35,0.019001441764105342
2000,-0.5,3,26,5,0.0009353188388832034,3.866198556027789,-0.008606013798896028,39.285714285714285,28,0.005482206857333027
2000,-0.6,13,20,20,0.0004994300650500438,3.8229924419727324,-0.007682287606096128,50.0,20,0.0029242297781111315
2000,-0.8,3,4,10,0.0019910107629443896,3.7793572637105233,-0.01907385624587843,45.83333333333333,24,0.011699867465592817
2000,-0.6,6,26,5,0.0004916984355822773,3.672369521385172,-0.007095911943520439,47.05882352941176,17,0.002878906094514022
2000,-0.8,6,8,10,0.0007220655292214939,3.6432773646265946,-0.011949912286189246,53.84615384615385,13,0.00423007261539432
2000,-0.6,20,6,5,0.0030656150572263563,3.5829709474209825,-0.024542279560006097,52.72727272727272,55,0.018061617196413415
1500,-0.9,2,8,10,0.0014394044855936539,3.4475210806197176,-0.016839568662920024,41.66666666666667,24,0.008447133313640665
2000,-0.6,26,13,5,0.001308290188384298,3.4365185545950427,-0.01360226142206733,48.275862068965516,29,0.007675249906273551
2000,-0.7,10,13,20,0.0005147641046097107,3.375854126346486,-0.006182636542377606,52.94117647058824,17,0.0030141246702901636
1500,-0.9,3,8,5,0.0012722388639234694,3.330275645448573,-0.01358707841055351,54.166666666666664,24,0.007463097908782634
2000,-0.8,3,8,10,0.0006169829829552054,3.299580280208522,-0.007582092493772508,61.53846153846154,13,0.0036135474418863556
2000,-0.5,3,13,5,0.002135549300960715,3.2908162830483523,-0.020858979713312742,55.10204081632652,49,0.012553624725811119
2000,-0.8,2,8,10,0.0005425210854996809,3.056293659224886,-0.0065295427022465935,53.84615384615385,13,0.0031768653041810424
2000,-0.8,2,4,10,0.001562370470965302,3.048258102509719,-0.01646996282393398,41.66666666666667,24,0.009171492119632418
2000,-0.7,6,13,10,0.00047541457329836057,2.991681048394815,-0.00776105372818825,47.05882352941176,17,0.002783453812077452
2000,-0.7,2,13,10,0.0005148770326077745,2.9643299084081645,-0.006327222098180041,52.94117647058824,17,0.003014786728718688
2000,-0.6,6,52,5,0.00017969504583459361,2.921381797669579,-0.004428230778454556,27.27272727272727,11,0.0010513233306399528
2000,-0.6,10,20,20,0.0003198488350253381,2.9022294857741993,-0.006987967654294991,50.0,20,0.001871942577302832
2000,-0.8,6,4,10,0.0018425869082374646,2.8958246782557313,-0.027861500922774063,54.166666666666664,24,0.010823781631066343
2000,-0.6,3,20,5,0.0004797557278364284,2.86501916625449,-0.007933361087292923,55.00000000000001,20,0.0028088999324042963
2000,-0.8,10,4,10,0.001542180380432523,2.8061174668204347,-0.02431023178032643,50.0,24,0.009052528260871773
2000,-0.8,20,8,10,0.0005443626564243242,2.7863917425221434,-0.010120576723278707,76.92307692307693,13,0.003187663305322719
2000,-0.7,6,26,5,0.00023349349504453443,2.7761571465632926,-0.006568005410268474,40.0,10,0.0013662545516905933
2000,-0.8,20,6,5,0.0007294131669632886,2.725995368548876,-0.015409516665002898,58.82352941176471,17,0.004273193358479421
2000,-0.7,10,13,5,0.0004530346955988751,2.722371248850887,-0.008253918027424367,70.58823529411765,17,0.0026522803677915263
2000,-0.8,2,4,5,0.0013974122544693213,2.6232193562874926,-0.0224553652046513,50.0,24,0.008199867377941539
2000,-0.7,10,8,5,0.0008969144538493179,2.5995352582427738,-0.012408299834766545,53.84615384615385,26,0.005256616868535513
1500,-0.9,2,8,20,0.0009954755923071712,2.526060372702317,-0.016313365566064553,37.5,24,0.005835656103670317
2000,-0.6,3,26,5,0.0003448235019489765,2.5208389582020208,-0.00627681941156244,47.05882352941176,17,0.00201823112895938
1000,-0.9,2,8,10,0.0006368121240685198,2.5140722018457873,-0.009545904608631028,42.857142857142854,14,0.003729862096298442
2000,-0.6,2,6,5,0.002091177018247903,2.49114949282488,-0.023662547840494264,60.0,55,0.01229146393004732
2000,-0.6,26,4,5,0.003452823285225559,2.42728076385916,-0.038264338592684966,48.05194805194805,77,0.020362034983908206
2000,-0.7,3,6,10,0.0017262416618526455,2.30584196709172,-0.024017556335956813,60.0,35,0.01013748261802827
2000,-0.6,13,26,5,0.0002611926782292162,2.3056516899196775,-0.006961815330057686,47.05882352941176,17,0.0015284350753004272
2000,-0.6,3,8,5,0.0014836006109233413,2.273453031932453,-0.018822610519921734,50.0,42,0.008707430899552726
2000,-0.8,2,8,5,0.00037260337092881457,2.248040273002195,-0.00676557968818714,53.84615384615385,13,0.002180971891288852
2000,-0.7,3,13,20,0.0003432906424702953,2.177984685373485,-0.006163886349949355,52.94117647058824,17,0.0020092519288867905
2000,-0.6,3,8,10,0.0013480652297837015,2.124268739177963,-0.017201911978228956,45.23809523809524,42,0.007909357910265147
2000,-0.6,2,40,5,0.00017435611573191068,2.068053396662791,-0.006120232990861951,50.0,12,0.0010200741992627549
2000,-0.6,10,8,10,0.0009451080683156032,2.05222542061586,-0.014621113164647648,50.0,42,0.005539716173385001
2000,-0.6,10,8,20,0.0008961799727420505,1.9142215053404243,-0.014705338924370981,47.61904761904761,42,0.005252302885129678
