lookback,sigma,flip_hold_days,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades
10,2.5,4,20,-0.3317589058555531,-0.45643541567184837,-0.9347365002524196,-0.9375850421449596,959
10,2.5,5,5,-0.3590685797130532,-0.5276500035150137,-0.9520424856328911,-0.9550695786127713,959
10,2.5,5,10,-0.37449238597540063,-0.5524226898085955,-0.955173483006817,-0.9580029464744987,959
120,5.0,4,10,-0.37594277575769286,-0.34563243484124845,-0.8786250478669657,-0.9462645809438339,561
10,2.5,5,20,-0.37711370988368953,-0.5561771391923567,-0.9557261664590316,-0.9585207443781111,959
120,5.0,4,5,-0.37805837648979157,-0.3470031210160532,-0.8793713749773892,-0.9471513024642644,561
120,5.0,4,20,-0.3803498103585997,-0.34970151600359844,-0.8803744181878408,-0.9472859551030179,561
10,2.5,1,20,-0.4218620521219734,-0.5844403927043368,-0.8544862899841108,-0.8588049882678074,959
10,2.5,1,10,-0.42544479569550087,-0.5902268537335806,-0.8561256082701492,-0.8603956532615368,959
10,2.5,1,5,-0.4265770475356981,-0.5898378544351904,-0.8572607335266136,-0.861497089159821,959
40,4.0,1,5,-0.43599707396918924,-0.3861524943540873,-0.8068252047312179,-0.9008547502939479,723
40,4.0,1,20,-0.4384552087148044,-0.3893551672546197,-0.8069702435523516,-0.9009680790878477,723
120,5.0,3,20,-0.4397033467481024,-0.384289810141447,-0.8777177762366762,-0.9449217403342834,561
120,5.0,3,10,-0.4400327479913593,-0.38479936511630236,-0.8777796360470824,-0.9446588139231892,561
40,4.0,1,10,-0.4441226158799366,-0.3938918635688945,-0.8108919793852642,-0.902579360831209,723
120,5.0,3,5,-0.44762145277481097,-0.38948154229856863,-0.8814694338860434,-0.9464806652572955,561
120,5.0,0,20,-0.48781384112719645,-0.4215399978383667,-0.6413162391018677,-0.7500766059807757,561
120,5.0,0,10,-0.4919699528806258,-0.42503689278811735,-0.6437953947327104,-0.7495531538219651,561
120,5.0,5,10,-0.49980156306144286,-0.45814864547427747,-0.927317973750218,-0.9486842176326031,561
120,5.0,0,5,-0.5002253949787322,-0.43041652246455253,-0.6502508841053465,-0.7510690668574206,561
120,5.0,5,20,-0.5038057628830165,-0.4615800293166275,-0.9283292597879464,-0.9496506708069237,561
120,5.0,5,5,-0.5097066157377137,-0.46660805097834,-0.929789941871322,-0.9507570919532913,561
20,3.0,4,5,-0.5392472555055556,-0.5985366922849191,-0.9373387533414569,-0.9578805105710054,1035
40,3.5,2,5,-0.5477800121679554,-0.5659874057814097,-0.8913665259855781,-0.924742753766905,952
20,3.0,4,10,-0.5660943500077058,-0.6308696677688286,-0.9426315855908528,-0.9594213359850468,1035
20,3.0,3,5,-0.5674910139224231,-0.6276975280094126,-0.9271992772898635,-0.9379558907783323,1035
40,4.0,2,5,-0.5682410849416313,-0.5140409514528638,-0.873572812323736,-0.9386061080243968,723
20,3.0,2,5,-0.5697845133014859,-0.6071941831084833,-0.8902013220150952,-0.9316890303868384,1035
20,3.0,2,10,-0.5767221992506357,-0.6142132619968127,-0.8911175713965619,-0.9333758451804071,1035
20,3.0,4,20,-0.5781099338549067,-0.644138263625944,-0.9447556663677161,-0.9598472577048345,1035
20,3.0,2,20,-0.5821157258016093,-0.6210572087774636,-0.8922528393259048,-0.9325921104582395,1035
40,4.0,2,20,-0.5875982053309942,-0.5325763880760255,-0.8793371806089798,-0.9409595523814218,723
40,4.0,2,10,-0.5965506797542793,-0.5403872106634015,-0.8829220442584244,-0.9421386988997935,723
20,3.0,3,10,-0.6039881977118804,-0.6694708356144858,-0.9341834219405847,-0.9407498098692852,1035
40,3.5,2,20,-0.6064006710233028,-0.6258561050203126,-0.9076138546764989,-0.9349818477792584,952
40,3.5,2,10,-0.6078811897924207,-0.6277704295617332,-0.9084810477290236,-0.9351267543648238,952
40,3.5,1,5,-0.611107001071116,-0.6234611955985885,-0.8891529503662623,-0.9347079443411681,952
20,3.0,3,20,-0.6125600605286247,-0.6789939781507351,-0.9356471873732163,-0.9404236086060619,1035
20,3.0,5,5,-0.6419150897259572,-0.7594428390723148,-0.9595933067237864,-0.9689548351957054,1034
40,3.5,1,20,-0.6525845184297157,-0.6655851977709706,-0.8999490901060777,-0.9403944387151547,952
20,3.0,5,10,-0.6556369846497769,-0.777146864081346,-0.9615046226935056,-0.9689882757198198,1034
40,3.5,1,10,-0.6577643799377357,-0.6701394922651669,-0.9019496102028932,-0.9417857148749808,952
20,3.0,5,20,-0.6586600234843147,-0.7803808132208816,-0.9617218638677554,-0.9686880660774075,1034
40,3.5,3,5,-0.6615070727656529,-0.7048117091806504,-0.9504344990540305,-0.9528811501894288,952
40,4.0,4,5,-0.6833322936586376,-0.6457722550528826,-0.9530963296731181,-0.9690732645452057,723
40,4.0,4,20,-0.6898018465100111,-0.6530232169681541,-0.953941946108832,-0.9697358985457905,723
40,4.0,4,10,-0.6970804767952319,-0.6587422579239877,-0.9553431998319624,-0.97051964302591,723
60,3.5,3,5,-0.7044674307330182,-0.7827023560977423,-0.9624678171657935,-0.9653607487222516,999
60,3.5,2,5,-0.705245412085498,-0.758722461838501,-0.9380025639553132,-0.9444959760917304,999
40,3.5,4,5,-0.7181091381227093,-0.7539388829590117,-0.9687233644970025,-0.9704417148830881,952
20,3.0,1,5,-0.726913164526223,-0.780139992732515,-0.9062939842655323,-0.9451223394706286,1035
40,3.5,3,20,-0.7281921452042337,-0.778353118435582,-0.9593953819876362,-0.9613997062225643,952
40,3.5,3,10,-0.7329442300459813,-0.7778017172841541,-0.9607047963614579,-0.9626444853137142,952
20,3.0,1,10,-0.7341963484816273,-0.7888591107499862,-0.906818176906111,-0.9450625918177988,1035
20,3.0,1,20,-0.7398003168364992,-0.794178950369714,-0.9078029265689347,-0.944727770465366,1035
60,3.5,2,10,-0.7417215871346586,-0.7950740007373084,-0.9445103238747788,-0.9526748292583889,999
60,3.5,3,10,-0.7538938069337465,-0.8389390065617068,-0.9679249549507185,-0.9703972574652772,999
40,4.0,5,5,-0.7541427855931748,-0.7400147327575042,-0.9678815905868544,-0.978258341155818,723
40,4.0,5,20,-0.7550061513815971,-0.7417981100007113,-0.9679400758447801,-0.978355211694126,723
40,4.0,3,5,-0.7579250043731541,-0.7071262905818622,-0.9523254388036771,-0.9668485381830391,723
60,3.5,2,20,-0.7592723704622251,-0.8134924641854152,-0.9471470294112785,-0.9553758058714847,999
40,4.0,5,10,-0.75980391937459,-0.7444799028300528,-0.96867273160066,-0.9787105571360326,723
60,3.5,4,5,-0.7651370425384335,-0.858675494277875,-0.9756962304067309,-0.9756962304067309,999
60,3.5,3,20,-0.7690335227840588,-0.8541088578463771,-0.9696167230359032,-0.9719586262794825,999
40,4.0,3,20,-0.7720090046408062,-0.7254341666092041,-0.9535900899166855,-0.9673292316568937,723
40,3.5,4,20,-0.7729597437117359,-0.8128521726562496,-0.973998743949464,-0.9754272629590891,952
60,4.0,1,5,-0.7736597837814527,-0.7334474510654123,-0.9278893128892575,-0.9506909820027709,822
40,3.5,4,10,-0.777539455541189,-0.8164364807263559,-0.9745597390668657,-0.9759574367889361,952
40,4.0,3,10,-0.7814336948659762,-0.7287445498972135,-0.9558063334600424,-0.9687198888784408,723
60,3.5,4,10,-0.7946805516950898,-0.8916765486687335,-0.9781050667677599,-0.9781050667677599,999
60,4.0,1,10,-0.7955207176150044,-0.7544046295015042,-0.9313186326046129,-0.9521688730854733,822
60,4.0,1,20,-0.7982971706921275,-0.7559316427037045,-0.9317346497809194,-0.9527303678568997,822
60,3.5,5,5,-0.8011070949116169,-0.8937182466995285,-0.9826935381909481,-0.9842528788325867,999
60,3.5,4,20,-0.8141320691108953,-0.9133596506396743,-0.9796283460000642,-0.9796283460000642,999
40,3.5,5,5,-0.8242230221776675,-0.8860649853373423,-0.9817179074575273,-0.982531540556739,952
60,4.0,2,5,-0.8354608860041313,-0.779120127315377,-0.9550191437738362,-0.9686321911745669,822
20,3.5,0,5,-0.8460922758449679,-0.784824884839286,-0.7968258131890962,-0.8370370424100706,640
60,3.5,5,10,-0.8477144969167217,-0.9473801990965345,-0.985482936303216,-0.9867909475922603,999
120,4.0,4,5,-0.8520545343289933,-0.8631055867540984,-0.9883963071432125,-0.9890338184924933,860
20,3.5,0,10,-0.8533642354221365,-0.7944431888269595,-0.798174305517167,-0.8345826840594173,640
20,3.5,0,20,-0.855262646713181,-0.7956254134115558,-0.7989495417010293,-0.8348993620923466,640
60,3.5,5,20,-0.860428962620507,-0.9606509063379601,-0.9862577174805661,-0.9874959197126495,999
60,4.0,2,10,-0.8670426220835838,-0.808817462675203,-0.9588328468479905,-0.9707398913011558,822
60,4.0,2,20,-0.876154306755702,-0.8181231130882426,-0.9596734399361861,-0.9716422921810398,822
120,4.0,4,10,-0.877579447546164,-0.8892237556505559,-0.9895669350810256,-0.9901401316810837,860
40,4.0,0,5,-0.8808278324770928,-0.7157107829028835,-0.857605995159877,-0.8809031159939825,723
40,3.5,5,10,-0.8842864398871262,-0.9504216337633602,-0.9853352673121727,-0.9859879120725132,952
40,3.5,5,20,-0.8846696148392179,-0.9531212240806073,-0.9852894353189362,-0.9859441198034831,952
40,4.0,0,20,-0.8854440779335552,-0.7210258299321913,-0.8579803346795181,-0.8808469667999446,723
120,4.0,4,20,-0.8898632736450671,-0.9018328347672069,-0.990087393964531,-0.9906319963533183,860
40,4.0,0,10,-0.8958908186646559,-0.7281265039030542,-0.8614663344832253,-0.8834815619238394,723
120,4.0,3,5,-0.9100806004116775,-0.9270624116371601,-0.9887327868748041,-0.9890283692015522,860
60,4.0,4,5,-0.931114273676762,-0.9295292991661626,-0.984838930946515,-0.9853022101653421,822
120,4.0,2,5,-0.9416827193743339,-0.8824179932758461,-0.9796027389051976,-0.9838374411144708,860
120,4.0,3,10,-0.9435795095431707,-0.9620979338373707,-0.9899951234329853,-0.9902575898176758,860
60,3.5,1,5,-0.9486139679467808,-0.9778884155608089,-0.9560523469331011,-0.9638619358945578,999
60,4.0,4,10,-0.9493808407471725,-0.9494096095368537,-0.9856767541639786,-0.9861144318843671,822
120,4.0,3,20,-0.9512027898152555,-0.9701057095412987,-0.9903102221721468,-0.9905644223052413,860
60,4.0,4,20,-0.9538441426681021,-0.9539311073771191,-0.9859103631089825,-0.9863409024033688,822
60,4.0,3,5,-0.9555738772300578,-0.951031890554864,-0.980879910149209,-0.9823681366966439,822
120,4.0,5,5,-0.960891414500843,-0.9822210243052347,-0.9939994501658296,-0.9941311364865083,860
120,4.0,5,10,-0.9811646782569121,-1.0001592028959345,-0.9945551153017598,-0.9946746071570475,860
120,4.0,2,10,-0.9822259796373339,-0.9200434469413186,-0.9821298442376689,-0.986044751114261,860
120,4.0,2,20,-0.9893615093221585,-0.9268158768039475,-0.9825254818361425,-0.9864018934333725,860
60,4.0,3,10,-0.9900953032240588,-0.9884190779353207,-0.9826130001583181,-0.9839663303438229,822
120,4.0,5,20,-0.9926243985002406,-1.0116899642364503,-0.9948306718911769,-0.994944116461732,860
60,3.5,1,10,-0.9943900335569588,-1.0215746238695222,-0.9610443683406675,-0.968007955312826,999
60,4.0,3,20,-0.9946208732368798,-0.9920490563027418,-0.9828916886239053,-0.9842233268834731,822
60,3.5,1,20,-1.006666533830989,-1.0315795011198043,-0.962247734457818,-0.9689552112381256,999
120,3.5,2,5,-1.016145803786097,-1.0117019398832192,-0.9837742730360243,-0.9845086550214117,1022
120,3.5,4,5,-1.024774524984933,-1.013236039444519,-0.9952405006299171,-0.9955585381756207,1022
60,4.0,5,5,-1.0387778417276705,-1.054178567350948,-0.9909403158703269,-0.9920089347992969,822
120,3.5,4,10,-1.041397771091476,-1.0291396248973192,-0.9954831612810683,-0.9957849838444953,1022
120,3.5,3,5,-1.0443030536593394,-1.0343182068286196,-0.9930954180423354,-0.9933383421653446,1022
120,3.5,2,10,-1.0482902103762053,-1.0458413508354372,-0.9852289131146452,-0.9860813204955784,1022
120,3.5,4,20,-1.0582714052420654,-1.0459163531211024,-0.9957984870504597,-0.9960792390293576,1022
60,4.0,5,20,-1.0593367670493037,-1.0771540305260878,-0.9915643383158358,-0.9925593517870624,822
120,3.5,2,20,-1.0600962776955605,-1.058901016730293,-0.9857429506641263,-0.9865333188668833,1022
60,4.0,5,10,-1.0631309130201916,-1.081235404382391,-0.99165653039389,-0.9926406695125124,822
60,3.0,4,5,-1.0678138082589264,-1.1462726432425738,-0.9921153349543669,-0.9928802216414631,1187
120,3.5,3,10,-1.070167262012686,-1.059762510240892,-0.9935902764763253,-0.9938157899795709,1022
120,3.5,3,20,-1.0853398983203297,-1.0757486554338234,-0.993966837605594,-0.9941791025468488,1022
120,3.5,5,5,-1.0956991722390437,-1.105938507965499,-0.9972828959623756,-0.9973370688169335,1021
60,3.0,4,10,-1.0961885400100173,-1.179084355353691,-0.9931038084734757,-0.9936594701256217,1187
120,3.5,5,10,-1.096798798460819,-1.1088935071641668,-0.9973192707415721,-0.9973727183660337,1021
60,3.0,5,5,-1.0974823786455672,-1.181668707477047,-0.9946813789077129,-0.9950885171625586,1186
