UnivSize,MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
20,104,-0.8,4,3,1.7252795456932026,2.599664563684938,-0.12100450704423737,0.32363867233491606,6.994859777626937,0.5205479452054794,1022
60,104,-0.8,8,3,1.723956107395828,2.390125694337449,-0.16898001241354443,0.31327129779254226,6.542090498086447,0.5185735512630015,1346
60,52,-0.4,13,10,1.7091186169443726,2.6404786163716967,-0.15088796296257156,0.2603452875800478,4.559548275741204,0.5262083049693669,1469
60,52,-0.4,13,5,1.7079227908096062,2.6682239516654582,-0.14052171883188602,0.26184010538155,4.60862199484603,0.5282505105513955,1469
20,104,-0.8,4,10,1.7049668218048366,2.558055533905643,-0.12100450704423704,0.31734995866728966,6.717495379018338,0.5215264187866928,1022
40,52,-0.4,8,10,1.7022558156726353,2.649265843370614,-0.1214409476408641,0.2563011753769677,4.428640525163573,0.5345181134654818,1463
80,156,-0.8,13,5,1.7018534875361526,2.502236959793495,-0.19794764023250433,0.35815244748830555,8.675950043745598,0.5251641137855579,1371
60,104,-0.8,8,10,1.6986587363535501,2.3511103831898756,-0.16624973566719314,0.3089494726332178,6.360002043633493,0.5189591078066914,1345
80,156,-0.8,8,3,1.6976320218980183,2.418538669852266,-0.1799930240195705,0.312088486204656,6.491872768167933,0.53397341211226,1354
80,52,-0.8,26,3,1.6970139070462325,2.6142647474245826,-0.18343862122427945,0.29899345456936577,5.954939790732321,0.5204918032786885,1464
60,156,-0.8,8,3,1.691937482005383,2.4562551591664463,-0.15340218817690854,0.3370243669942725,7.6140926893613,0.5283742331288344,1304
60,104,-0.8,8,5,1.681993914400488,2.32328504289025,-0.16687973295449698,0.3042719807411769,6.1672260329381094,0.5193164933135216,1346
80,52,-0.4,13,5,1.6796847417734881,2.640969491572457,-0.12658718051474316,0.2311020589823931,3.6714226988688825,0.5282505105513955,1469
40,52,-0.4,13,10,1.6736877532783503,2.574961290170445,-0.15823062470135218,0.2857669477386402,5.446735998817014,0.523517382413088,1467
80,104,-0.8,8,3,1.6720393496046764,2.2133101530046893,-0.17881737167055556,0.2818772486311836,5.303536617468924,0.5311594202898551,1380
80,104,-0.8,8,10,1.6688484374543613,2.204832818767833,-0.17454408163287516,0.28131624175529035,5.283111951611803,0.5344452501812907,1379
80,104,-0.8,8,5,1.6677258517057791,2.200786307894699,-0.17474213423433826,0.2796983850165513,5.224530681297563,0.5318840579710145,1380
40,52,-0.4,8,5,1.6642677656003255,2.598973405416933,-0.11233723872606216,0.24801468930740622,4.168713375239157,0.5311004784688995,1463
80,156,-0.6,13,5,1.663655326975356,2.6793866440187086,-0.1540834456606086,0.25921789260733785,4.5227829145778,0.5405777166437414,1454
20,156,-0.8,4,5,1.6629916120417607,2.172893168454906,-0.19350461791542617,0.3224878707207275,6.943468480674967,0.5380549682875264,946
80,156,-0.6,13,10,1.6628710902344463,2.6920116086454735,-0.15116957313091073,0.25937074979811103,4.527755365131802,0.5440165061898212,1454
60,156,-0.8,13,10,1.6627228016157491,2.3528723115040155,-0.20116389138935475,0.38481762710514644,10.176317726977853,0.5408852213053263,1333
20,156,-0.8,4,10,1.661824494974642,2.171763922480409,-0.1935046179154264,0.3222056392550938,6.930908611357902,0.5380549682875264,946
80,104,-0.6,13,10,1.6565406964959797,2.524704861895842,-0.18347942412446339,0.2631659415395946,4.6524613229525,0.5313778990450204,1466
40,52,-0.4,13,5,1.6541811238340611,2.5236419774216357,-0.15781786786562457,0.2823677734072265,5.321442273492462,0.523517382413088,1467
20,156,-0.8,4,3,1.648361548220207,2.1607986272293718,-0.1935046179154265,0.3200184966228308,6.834157418793296,0.5359408033826638,946
60,52,-0.4,8,5,1.647612410696312,2.5568967243375273,-0.11676045158185522,0.21566954261026017,3.254326919610377,0.5255623721881391,1467
40,52,-0.4,13,3,1.6474439175609605,2.528633522394214,-0.14413880977725646,0.2837044057279272,5.370456936437538,0.5248807089297887,1467
60,156,-0.8,13,5,1.639490045577334,2.320935108459117,-0.19913291442707826,0.3787360632667349,9.817504311620791,0.5386346586646662,1333
80,156,-0.8,13,3,1.635685652825928,2.3916119774789415,-0.18940356198353736,0.34221338521308997,7.865063688818358,0.5251641137855579,1371
80,104,-0.6,13,5,1.6265487477634275,2.5070621771420183,-0.18633521592955649,0.25756410798108287,4.469232143614237,0.5300136425648022,1466
60,52,-0.8,26,10,1.6262459382818502,2.4959377531346396,-0.2586470113019198,0.32283239636553684,6.958823887660446,0.5222755311857437,1459
80,208,-0.6,13,10,1.6259205353318549,2.542075187491404,-0.1267865924095607,0.26372582631299135,4.671062982198457,0.5359835503769705,1459
80,52,-0.6,13,3,1.6237160389796808,2.4924159115825764,-0.13778443856275857,0.24047296364594484,3.941577581649593,0.521117166212534,1468
60,52,-0.6,13,10,1.622325321166468,1.9443323232234127,-0.19819713215783386,0.2782017037344011,5.170758435900021,0.5326975476839237,1468
60,52,-0.8,26,5,1.614607599018825,2.493949703570869,-0.2739020004881326,0.31765670707518656,6.73082876040993,0.5201916495550992,1461
80,52,-0.4,26,10,1.6105872088262485,2.3889148660676542,-0.16441648012386223,0.2532825509574872,4.332673982805872,0.5319727891156463,1470
20,104,-0.6,4,3,1.606867457931158,2.420525787982021,-0.16353859972267615,0.26646738058517094,4.762915229299291,0.5389705882352941,1360
60,156,-0.8,13,3,1.6041693639188306,2.2661679172086537,-0.19807397668305893,0.3695397932412605,9.29385732951969,0.5356339084771192,1333
80,104,-0.8,26,3,1.6039792885206383,2.3878231106341765,-0.21411949156069254,0.32097766421809437,6.876461027297945,0.5170020818875781,1441
60,208,-0.8,8,10,1.602763796805617,2.2043057371977213,-0.1947160129175658,0.29809412732172147,5.919319418071738,0.525039123630673,1278
60,52,-0.8,26,3,1.5975250172474336,2.4323326809097923,-0.2665675425062868,0.3093119613895783,6.3751269871078255,0.5201916495550992,1461
80,104,-0.8,26,10,1.595224173415806,2.362573405281057,-0.20441555451466165,0.321019086338419,6.878292371973081,0.5208333333333334,1440
80,52,-0.4,26,5,1.5951826913093718,2.3618831979408332,-0.1703482526605845,0.2505308086255045,4.246474329883521,0.5251700680272109,1470
80,208,-0.6,26,10,1.594856634685066,2.376216933717887,-0.1443124818572903,0.2829904051837884,5.344233600696053,0.5495557074504442,1463
60,52,-0.6,13,5,1.594305263580699,1.9198310697364787,-0.19586863125956266,0.2723874447139196,4.965660046474931,0.5306539509536785,1468
60,208,-0.8,8,5,1.5937008296438622,2.186647818492509,-0.19871813246949666,0.2967330771110894,5.865711402389414,0.52660406885759,1278
80,208,-0.6,13,5,1.5917281923211561,2.456657808409104,-0.1254705662486072,0.2571677518498927,4.4564647782442846,0.5373543522960932,1459
60,208,-0.8,8,3,1.5873584847025861,2.169497101033942,-0.2022381367856394,0.29405039735103156,5.761099284261393,0.5226917057902973,1278
20,52,-0.4,8,10,1.5787698122122535,2.4150633634222336,-0.1146195894067793,0.24031912943841505,3.9370358972904205,0.5384615384615384,1456
20,104,-0.6,4,5,1.5759366528560625,2.3656510332321625,-0.17187592257644235,0.26061955039502216,4.568524184489755,0.5423105224429727,1359
