ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
1000,-0.8,3,2,5,-0.1665309595641612,-0.03066850907957075,-3.333764083550652,-0.21488991453706896,41.74311926605505,218
252,-0.1,3,20,20,-0.13446926993234032,-0.02439170932507051,-3.405335573227272,-0.1941269910821125,22.265625,256
252,-0.7,10,2,5,-0.3652446859975248,-0.07477738511476362,-3.6599824434784884,-0.4677786145345091,37.85942492012779,626
500,-0.8,40,2,5,-0.1958936504225155,-0.036595050840960264,-3.7501791699091327,-0.2747459322186516,42.492917847025495,353
252,-0.2,6,6,5,-0.3218368734824273,-0.064252625496244,-3.8012225491505616,-0.3715826726366297,41.607898448519045,709
252,-0.7,52,2,5,-0.31706345965650784,-0.0631296274553359,-3.8850926315110965,-0.44261746746750097,41.533546325878596,626
500,-0.8,3,2,10,-0.21609740888054985,-0.040778032572918566,-3.9144462630759196,-0.3242589851356181,38.243626062322946,353
500,-0.8,10,2,10,-0.21450793618475972,-0.04044572950202141,-4.017512719072355,-0.24889026548372273,36.54390934844193,353
252,-0.7,6,4,5,-0.1548780191405521,-0.028364391947329426,-4.04037131990406,-0.22400646141034442,40.05763688760807,347
252,-0.4,3,8,5,-0.235770729375683,-0.044937979184278554,-4.057915182430428,-0.29942733450560677,35.23809523809524,420
500,-0.8,52,4,5,-0.08302716224879425,-0.014712297499509752,-4.0660373690503295,-0.14705829481556854,40.526315789473685,190
252,-0.5,6,2,5,-0.6328390990604278,-0.15745778269052935,-4.08118066946863,-0.6821885225659292,40.75235109717868,1276
252,-0.7,20,6,5,-0.0928719695242376,-0.016529251254591926,-4.102975111690955,-0.15464797301944655,43.6,250
252,-0.5,26,2,5,-0.5690107274930176,-0.1340460620385624,-4.1075407101149795,-0.6437195286421973,40.98746081504702,1276
252,-0.7,6,2,5,-0.3835994783072343,-0.079408071360618,-4.2169193729277215,-0.46587967403112296,40.415335463258785,626
500,-0.8,20,4,5,-0.0939577772024498,-0.01673064701443061,-4.237836242007498,-0.15446286346765992,42.63157894736842,190
252,-0.7,3,2,5,-0.4319735467233411,-0.09218424833083871,-4.246332398169164,-0.5369432141117632,38.81789137380191,626
500,-0.8,6,2,10,-0.21784905378626163,-0.04114488776779257,-4.259351759063808,-0.2903824577848113,40.226628895184135,353
252,-0.5,40,2,5,-0.6001128025500521,-0.14506631153063987,-4.263254524580771,-0.6573684837476427,42.241379310344826,1276
1000,-0.8,10,2,5,-0.17161092788048093,-0.03168133013254526,-4.271270138430397,-0.2295159045955314,33.94495412844037,218
252,-0.7,26,2,5,-0.3339514149197238,-0.06713240687485134,-4.279190763977656,-0.4279859092769599,40.73482428115016,626
1000,-0.8,3,2,20,-0.1555558475059997,-0.02849769410156322,-4.304822629875899,-0.18924278575203135,38.53211009174312,218
252,-0.2,6,4,5,-0.48482452916135443,-0.10721857814671676,-4.342207732615392,-0.5558588997882734,40.21421616358325,1027
252,-0.7,40,2,5,-0.34264853677121987,-0.06922672032123689,-4.342833782930912,-0.44010911633427796,42.01277955271566,626
500,-0.8,52,2,10,-0.17605301584937683,-0.032571201978704445,-4.36662221473834,-0.2527170318189521,39.09348441926346,353
252,-0.7,10,4,5,-0.18037684239921148,-0.033441210792141685,-4.398938358580189,-0.2657627705005531,40.92219020172911,347
1000,-0.7,13,2,5,-0.31362162050763487,-0.06232392757469263,-4.427564071986592,-0.34565084245107436,35.56910569105691,492
252,-0.7,3,4,5,-0.18581145143769906,-0.03454013603534756,-4.4310782217577795,-0.2809947229174329,39.19308357348703,347
1000,-0.8,10,2,20,-0.15002275863526537,-0.02741213593548797,-4.511864981090608,-0.19007870954067663,35.77981651376147,218
252,-0.5,52,2,5,-0.616320026776453,-0.1510934392137988,-4.548385190397853,-0.693010614387769,41.61442006269592,1276
252,-0.8,52,2,5,-0.2064021212490209,-0.03875970681626706,-4.550588890941521,-0.25056643505262544,39.811912225705335,319
252,-0.2,6,2,5,-0.8133249331104654,-0.24948771162070804,-4.566180305974949,-0.8232981218147865,40.0,1985
252,-0.7,20,2,5,-0.36989309195565145,-0.07593951615798322,-4.566413281816282,-0.44792852937914873,41.054313099041536,626
252,-0.7,13,6,5,-0.11463101221180427,-0.02060382221106294,-4.57039279819585,-0.16954642009594567,41.6,250
252,-0.2,6,8,5,-0.29726022328122303,-0.05853908242728045,-4.5779281714294,-0.3436350509526176,36.90036900369004,542
252,-0.4,3,8,10,-0.24611253577994985,-0.047160483903499695,-4.593085366191465,-0.3079895498706402,36.19047619047619,420
1000,-0.8,13,2,5,-0.15921387410456145,-0.029218618803557916,-4.618051055000428,-0.20627680477419486,34.862385321100916,218
1000,-0.7,10,2,10,-0.3199645071859326,-0.06381135206938171,-4.629872289926658,-0.3586117336502842,35.97560975609756,492
1000,-0.8,6,8,5,-0.022932341801622735,-0.003959170270917189,-4.639858867496796,-0.03619070044407635,37.3134328358209,67
500,-0.8,40,2,10,-0.19315627339225305,-0.036035026380374924,-4.6635762206705085,-0.2636146320431527,40.50991501416431,353
252,-0.3,6,2,5,-0.7816999179283788,-0.2291319013984907,-4.673423198014724,-0.7896696539046485,39.64632059326868,1753
500,-0.8,13,4,5,-0.09528833368837375,-0.016977711814503693,-4.682196688065642,-0.14634116248819373,40.0,190
1000,-0.8,13,2,10,-0.15164052399550076,-0.027728924097641938,-4.708606022524698,-0.183334439596324,35.77981651376147,218
252,-0.6,6,2,5,-0.568329358181596,-0.1338121161253526,-4.709982639323285,-0.6519614736054496,39.4291754756871,946
500,-0.7,52,2,5,-0.40281733878045667,-0.08438065796765415,-4.7191664398921045,-0.4397167396046855,38.81789137380191,626
1000,-0.5,10,2,5,-0.5428117589487003,-0.12526358057936782,-4.723497234824589,-0.5662088219252475,38.758782201405154,854
252,-0.7,10,2,10,-0.3760011222958658,-0.07747741642715689,-4.729389034255022,-0.4591139004844468,36.26198083067093,626
252,-0.5,20,2,5,-0.6311651305226376,-0.1568021625568422,-4.735054850254366,-0.6775703123428805,41.692789968652036,1276
1000,-0.7,10,2,5,-0.3564799014180562,-0.07260519347326777,-4.74829724472362,-0.408208171236922,34.34959349593496,492
252,-0.7,26,6,5,-0.09828391910626844,-0.017535052442737564,-4.769865276209891,-0.15150808601590604,42.8,250
1000,-0.6,13,2,5,-0.4591966305587045,-0.09977621078616172,-4.776852493345965,-0.47496041178584525,37.39495798319328,714
252,-0.4,6,2,5,-0.7431960342195509,-0.20741918884909094,-4.79525570907198,-0.7638884949532823,39.26218708827404,1518
500,-0.8,20,2,10,-0.208134898936028,-0.039118923659737015,-4.795419793167658,-0.26905850449539914,39.09348441926346,353
252,-0.7,6,6,5,-0.1283795519544194,-0.023221358243890933,-4.800800739714887,-0.170912913274329,40.0,250
1000,-0.8,10,4,10,-0.05668741342147254,-0.009929355771032267,-4.81423927290325,-0.08081545592057704,39.83050847457627,118
252,-0.2,6,6,10,-0.3524034700431409,-0.07160327074679829,-4.820662272002484,-0.39930179940685906,38.928067700987306,709
252,-0.7,13,2,5,-0.3960532912742484,-0.0826155403024631,-4.82623919512974,-0.45663184467376583,40.2555910543131,626
252,-0.7,20,4,5,-0.17304482588045245,-0.03196814588139618,-4.873768810883387,-0.24697242622735516,41.210374639769455,347
252,-0.7,26,4,5,-0.16874723910982292,-0.031109749771839335,-4.890573519595961,-0.2492559307429032,44.09221902017291,347
500,-0.8,3,4,10,-0.0879018989985555,-0.01560994489090195,-4.901574863419414,-0.13492479483933428,36.84210526315789,190
500,-0.8,6,4,5,-0.10108188678617136,-0.018057013612147177,-4.912672937502644,-0.1343465968342641,41.05263157894737,190
1000,-0.8,3,4,20,-0.05713784155667012,-0.010010211540459335,-4.937359767366265,-0.07890437193667588,41.52542372881356,118
500,-0.7,6,2,5,-0.47034267637495586,-0.10297630082234499,-5.013387808105307,-0.4909721351332448,40.2555910543131,626
252,-0.3,26,2,5,-0.7578924841874031,-0.2153659610272095,-5.026608592558846,-0.7767210102120699,41.07244723331432,1753
500,-0.8,26,2,10,-0.2042661501816676,-0.03831779885869957,-5.028930875724156,-0.271321545172295,39.94334277620396,353
252,-0.3,52,2,5,-0.7700843251676545,-0.22226790652859052,-5.030737913550698,-0.7987422169125208,40.10268111808328,1753
252,-0.3,40,2,5,-0.7784676582419752,-0.2271920353609126,-5.053164933830231,-0.7959206935877754,41.12949229891614,1753
1000,-0.4,6,2,5,-0.63997722295563,-0.1602815945419256,-5.055641018026906,-0.6723508699986245,37.92766373411535,1023
252,-0.1,13,2,5,-0.8520158648227495,-0.2787113089643619,-5.056158788250703,-0.860422551819352,40.45146726862303,2215
1000,-0.3,3,2,5,-0.6968219179864927,-0.18459798580747067,-5.056426455566299,-0.7171233903369779,38.6986301369863,1168
500,-0.1,6,2,5,-0.814206566128362,-0.2500950071958613,-5.06061753125672,-0.8299070550763861,39.22951709169832,1843
1000,-0.6,10,2,10,-0.465773066985007,-0.1016576516310429,-5.061523313445264,-0.4919376758951344,36.27450980392157,714
500,-0.8,3,2,20,-0.2444977326879001,-0.04681179628151244,-5.070122299887303,-0.3174865064004121,35.69405099150141,353
1000,-0.4,10,2,5,-0.6151160100638225,-0.15063850556551528,-5.071574671779156,-0.6410632174984922,38.80742913000977,1023
252,-0.1,10,2,5,-0.8690078309917025,-0.2935987945877906,-5.102949697087187,-0.8773252208688499,38.55530474040632,2215
252,-0.5,10,2,5,-0.6953439069328726,-0.18391961872348028,-5.112432491183133,-0.7233353399360647,40.04702194357367,1276
252,-0.1,52,2,5,-0.8363466616727482,-0.2661904480441092,-5.114366320538995,-0.8512592986378317,40.36117381489842,2215
252,-0.4,3,8,20,-0.2621343868644208,-0.050654088791593166,-5.130141071672419,-0.3124290989100763,31.9047619047619,420
1000,-0.3,6,2,5,-0.6927197477340881,-0.18272189402765293,-5.134436202697217,-0.7359748662787633,37.58561643835616,1168
1000,-0.5,10,2,10,-0.5211781741426345,-0.1183207055388994,-5.1395831672722405,-0.5365328343860141,37.23653395784544,854
500,-0.8,13,2,10,-0.23512194831941946,-0.04479938587178045,-5.173625560948131,-0.27168385201739875,39.376770538243626,353
1000,-0.4,10,2,10,-0.5777960951543144,-0.13709029011634288,-5.199319413964089,-0.5917520012936589,37.43890518084066,1023
252,-0.2,6,8,10,-0.30969639244372393,-0.061409148953411985,-5.210159431522994,-0.34374228972254883,33.210332103321036,542
252,-0.6,40,2,5,-0.5369625750101148,-0.12335998322259789,-5.214731728045385,-0.6181345970291815,42.071881606765324,946
500,-0.8,6,2,20,-0.24005353297749932,-0.04585533147195375,-5.22655064075213,-0.29760916150530214,36.827195467422094,353
500,-0.8,10,2,20,-0.23479110812845594,-0.04472874894715628,-5.227003100027957,-0.2527219666057171,37.110481586402265,353
500,-0.7,26,2,5,-0.4059900061206101,-0.08521430019943121,-5.234980464854531,-0.45634370886641895,40.57507987220447,626
252,-0.3,3,2,5,-0.8407683378888218,-0.2696193250214879,-5.247334302539306,-0.8478457264298752,39.53223046206503,1753
252,-0.5,13,2,5,-0.6895400849693778,-0.18128193477678334,-5.248565595342585,-0.7161431247048258,40.43887147335423,1276
252,-0.3,13,2,5,-0.7918380592357285,-0.23537491507092878,-5.251879795884452,-0.8021635836889205,41.12949229891614,1753
252,-0.6,26,2,5,-0.5250724580480337,-0.11955103714681692,-5.257104371806807,-0.5921141199180306,39.4291754756871,946
252,-0.1,6,4,5,-0.5818314042699153,-0.13850620155477034,-5.2624941842430335,-0.5966379375444265,40.03511852502195,1139
252,-0.8,6,2,5,-0.2684453179327897,-0.05204748497820899,-5.263071563739976,-0.3150954481803724,37.30407523510972,319
252,-0.1,6,2,5,-0.8711363248918005,-0.2955749080322697,-5.27796055796629,-0.8783144109957448,39.954853273137694,2215
252,-0.6,52,2,5,-0.5327114395083985,-0.12198893580449754,-5.300019013540499,-0.6217828449489217,41.86046511627907,946
500,-0.1,52,2,5,-0.7861757370075808,-0.23185779794237726,-5.303260204708834,-0.804760189388227,39.06673901247965,1843
