Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
13,1.5,13,10,LONG,0.13218955544667277,0.5168700258832309,0.7379373596636201,-0.4399873908765324,748,1.066911169889118
6,1.5,13,10,LONG,0.1295697368175508,0.5145882357447035,0.725660328695815,-0.5542277339027977,748,1.0390980734952588
156,2.0,8,5,LONG,0.14632962321173015,0.5087357794373706,0.7574267801683952,-0.6504556008800491,1189,1.2225163753142798
104,2.0,26,5,LONG,0.14309227859253104,0.5080550164785155,0.8155120820819042,-0.49041319138694295,371,1.1860608828173538
104,2.0,26,10,LONG,0.13496644491755272,0.5068408483801982,0.8480807960111952,-0.5279951018881412,371,1.0967344052937902
13,3.0,13,20,LONG,0.1575109266390291,0.5037647063505586,0.7492824783665685,-0.8221004911560069,652,1.3523281816776267
13,3.0,26,20,LONG,0.15664198099522908,0.5034849535225076,0.7527516965063941,-0.8594264208704946,353,1.3420199019752146
13,3.0,13,10,LONG,0.156523306523644,0.5022070201046114,0.7469174594605061,-0.8221609777082232,652,1.340614980835543
104,1.5,26,10,LONG,0.1251259427464313,0.5016909121577657,0.73680825121707,-0.5324852292632283,371,0.9926305381242309
13,1.5,26,20,LONG,0.12332831269853628,0.5005050990546339,0.664552377710056,-0.47521130174833925,374,0.9740843270610531
13,3.0,26,5,LONG,0.1548219478992836,0.5004795639910677,0.7488019927195054,-0.8587658452744817,353,1.3205502212878422
13,3.0,26,10,LONG,0.15412568583623232,0.49932777704360604,0.7462395193264687,-0.8594264208704947,353,1.3123801657148046
104,1.5,26,20,LONG,0.11720565367728786,0.4945036715254404,0.7120581741680821,-0.5211991984779459,371,0.9119867835213247
26,4.0,26,20,LONG,0.15155860695864187,0.49058493662570507,0.7780989900048483,-0.7394553994071773,340,1.2824633638515404
26,4.0,26,10,LONG,0.15155860695864187,0.49058493662570507,0.7780989900048483,-0.7394553994071773,340,1.2824633638515404
26,2.0,13,20,LONG,0.12472126863623356,0.49032061615593936,0.7462616700121125,-0.5232550307139368,747,0.9884429548373066
52,2.0,26,5,LONG,0.13720068937054486,0.48914562250762594,0.7034713179067682,-0.6270717795609795,373,1.1209879251921127
13,3.0,13,5,LONG,0.14811130129968486,0.48895871447079026,0.727879945087895,-0.8260180032278779,652,1.2427937680623118
26,3.5,26,5,LONG,0.15555545589536468,0.4887603334546542,0.8327978461515682,-0.7106664679223897,361,1.3291831969742072
26,4.0,26,5,LONG,0.1490671431391184,0.4864614768427883,0.7724014011318924,-0.7449555914368102,340,1.2537353194164673
26,3.5,26,10,LONG,0.15318037205244428,0.4849010259417292,0.8252807218181464,-0.7143426014888126,361,1.301325873994784
26,3.5,26,20,LONG,0.15318037205244428,0.4849010259417292,0.8252807218181464,-0.7143426014888126,361,1.301325873994784
52,2.5,13,20,LONG,0.1391130088482111,0.4844497610580241,0.7092596562220788,-0.5687320269986338,743,1.1419311258767646
104,1.5,26,5,LONG,0.1292450337802855,0.4805001695848685,0.7167528285349449,-0.5255453517528674,371,1.0356726061719406
52,2.5,13,10,LONG,0.13633136529321765,0.47775530035154906,0.7003960837453412,-0.5730735041715436,743,1.1115236121145031
104,2.5,26,5,LONG,0.1351984686336405,0.4771090343535457,0.7269151543948964,-0.5552796156853028,371,1.099242356130718
156,1.5,26,10,LONG,0.11778399499761827,0.46571765663353565,0.7426626536166929,-0.5315962197035093,369,0.917782298020799
26,2.5,26,5,LONG,0.13005847378907598,0.465689622071404,0.6724544182401881,-0.6534297488899555,374,1.0442630314665116
6,1.5,26,5,LONG,0.11638929804273879,0.459051288127505,0.6907211314211469,-0.5201552004431353,375,0.9038308632974561
104,2.5,26,20,LONG,0.12598253364482792,0.4586351894458327,0.6935586502407111,-0.5686609296137581,371,1.0015186936907075
52,3.0,13,20,LONG,0.13031336973715835,0.45581503296240655,0.6905287590035206,-0.6593242940966472,737,1.0469610645713927
52,3.0,13,10,LONG,0.13031336973715835,0.45581503296240655,0.6905287590035206,-0.6593242940966472,737,1.0469610645713927
104,2.0,13,10,LONG,0.11712236497097672,0.45445570149898246,0.6882305644595925,-0.46605467041020887,740,0.9111533510462573
52,2.5,13,5,LONG,0.12657578965089833,0.45171962282191164,0.6738705922694606,-0.5219139049625416,743,1.0076936778995047
104,2.5,26,10,LONG,0.12248892495330788,0.4496099246876984,0.6796809760253213,-0.5683731471470483,371,0.9654734766844477
52,3.0,13,5,LONG,0.124586034458257,0.4430347819291953,0.6756367341494088,-0.6674598215670908,737,0.9870451738158712
6,1.5,13,20,LONG,0.10155782417146897,0.43960452808454553,0.6075392425339187,-0.48782870505267406,748,0.760600244796579
104,5.0,13,20,LONG,0.11443815536951019,0.43556519398906385,0.6669245127976757,-0.8632923512954106,613,0.884454463977633
104,5.0,13,10,LONG,0.11443815536951019,0.43556519398906385,0.6669245127976757,-0.8632923512954106,613,0.884454463977633
104,5.0,13,5,LONG,0.1140601364071705,0.43495790009876806,0.6659596702722308,-0.8632923512954107,613,0.8807194072538043
52,2.0,13,10,LONG,0.11068328276743244,0.4326005825451861,0.6553434805883831,-0.5048533756962794,745,0.8476254777593153
156,2.0,8,10,LONG,0.11325257170248504,0.4323224856854883,0.6368672567575575,-0.6504363193682214,1189,0.8727607344764869
26,1.5,26,20,LONG,0.09636706879979418,0.41947212785728377,0.6002199375420185,-0.4360839488439816,374,0.7126339686245942
156,2.5,13,10,LONG,0.11375105855153245,0.4189016217891687,0.7052996284533076,-0.47567789228523505,733,0.8776700927050547
156,2.5,13,20,LONG,0.11222594114765005,0.41519915153316916,0.6986952961502048,-0.4787498678746278,733,0.8626834612456049
156,2.0,8,20,LONG,0.10681622879093178,0.415087210075198,0.6105175083510227,-0.6504045372856999,1189,0.8103218935326617
104,1.5,13,5,LONG,0.10530812104434961,0.4092838013385283,0.6088622229493661,-0.6527634727587843,740,0.7959441943645436
26,2.0,26,20,LONG,0.0931403330161853,0.39081103931617767,0.5613973233921444,-0.4837360810960646,374,0.6833664897603711
