low_bubble_threshold,leverage_multiplier,leverage_hold_days,high_bubble_threshold,uvxy_allocation,uvxy_hold_days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Vol
-0.88,1.3,60,0.85,0.4,30,3.6515084607427077,0.053638996426762064,0.5316250847688655,15.848448633342755,-0.15784828642031434,0.10089628567862383
-0.9,1.2,60,0.85,0.3,40,2.452984623390047,0.04302206442734913,0.5312996313386269,14.834362673553631,-0.15893826018317758,0.08097514451300036
-0.88,1.3,40,0.85,0.5,30,4.775451035123065,0.06141854801331492,0.5310522346567963,15.024635255864256,-0.16648805858679805,0.115654438499836
-0.92,1.2,50,0.85,0.4,30,3.0455238276834713,0.04865194132262696,0.5301213263883218,14.71749304141501,-0.16894526828413603,0.09177510675544619
-0.95,1.3,50,0.85,0.3,50,2.906086521811942,0.047402464382505505,0.5298084938420572,13.805116985417031,-0.17507824696824714,0.08947094078985604
-0.9,1.3,60,0.85,0.3,50,2.5634847518563957,0.04413942514887226,0.528777556195969,14.772244268827494,-0.14843778905600757,0.08347446791503732
-0.88,1.2,40,0.85,0.3,40,2.225082969233509,0.0406041423572725,0.5286195859839764,13.833793459756453,-0.1277203345756277,0.07681164949969012
-0.95,1.1,40,0.85,0.3,40,2.541464472034059,0.04391945521894036,0.5280377644607768,13.222955492820757,-0.17507824696824748,0.08317483743570911
-0.9,1.2,40,0.85,0.3,50,2.4954753303970154,0.04345575692562309,0.5271180207436342,14.483625160045213,-0.13702345461117416,0.08244027943555729
-0.92,1.2,60,0.85,0.5,30,5.2587938450843765,0.06432215248880713,0.5270988490043059,16.103331540310357,-0.1933889645556348,0.12203053110495726
-0.9,1.4,40,0.85,0.5,30,4.695345906207666,0.06091476362395043,0.5257148951841959,14.837346134822788,-0.16648805858679805,0.1158703399541449
-0.9,1.4,60,0.85,0.4,30,3.5896402593913797,0.053159562949347094,0.5256044020346426,15.59500611523317,-0.16057171939643133,0.10113987391194518
-0.9,1.2,60,0.85,0.5,30,5.192686999118753,0.06393808144117963,0.5238370216289147,15.996043457769023,-0.19338896455563492,0.12205720252905924
-0.9,1.2,50,0.85,0.3,40,2.3186225979294055,0.04161592074644194,0.5238237740183004,14.662693384725637,-0.18109284827995942,0.07944641463521669
-0.88,1.2,60,0.85,0.3,40,2.3980859243999695,0.042454028970624114,0.5237414789105502,14.62494092439824,-0.1589382601831777,0.08105913065914498
-0.9,1.1,50,0.85,0.4,30,2.931675118357271,0.047634954807960206,0.5235228398519524,14.544325885029865,-0.19870195506234778,0.09098925812182512
-0.95,1.4,50,0.85,0.3,50,2.8549917068355963,0.046933796944319095,0.5230844210427656,13.598306812665642,-0.17507824696824736,0.08972509036066656
-0.88,1.3,50,0.85,0.3,30,2.0450834088966814,0.038574774485830465,0.5225160994412417,13.951065181211908,-0.16379833188625958,0.07382504486862859
-0.92,1.1,60,0.85,0.4,50,3.792412093307748,0.05470830128370108,0.5223964024323413,15.05402789908189,-0.1822888113276473,0.10472564709284475
-0.92,1.2,40,0.85,0.4,30,3.0843164463588195,0.048992161066689466,0.5223733611147402,13.967419837262666,-0.18986943883242458,0.09378763297221096
-0.95,1.2,40,0.85,0.3,40,2.4980752092029683,0.043482127662202386,0.5214490124675017,13.039023540125154,-0.1750782469682478,0.08338711287695136
-0.88,1.2,40,0.85,0.3,50,2.4495069427084206,0.042986340660976285,0.5210533770402553,14.312054589294604,-0.13849333439904343,0.08249891960234865
-0.88,1.1,50,0.85,0.4,30,2.9057465624520304,0.04739936571966363,0.5207621894018072,14.467057740859149,-0.198701955062348,0.0910192150741794
-0.9,1.1,60,0.85,0.4,50,3.7670459972938426,0.05451806125668068,0.5205065402608079,14.99698299902377,-0.1822888113276484,0.10474039620974515
-0.92,1.4,60,0.85,0.3,50,2.5062590196677026,0.043565013148346265,0.51979477457928,14.463085829768124,-0.1564589053263955,0.0838119490208566
-0.92,1.3,60,0.85,0.3,40,2.3797630732885535,0.04226246820901247,0.5197376834757667,14.45769230276191,-0.16645079083456382,0.08131499707002293
-0.92,1.4,50,0.85,0.3,40,2.3739984089754214,0.04220199260207602,0.5194956688043191,14.445667826188577,-0.14550083374998868,0.08123646670473483
-0.88,1.2,60,0.85,0.5,30,5.094230012892613,0.06335865500847992,0.5188511119809188,15.84586827162741,-0.19338896455563537,0.12211336459621965
-0.95,1.1,40,0.85,0.4,30,3.6946560323953266,0.0539697262349601,0.5184947073240659,13.422772635724183,-0.23124978281508368,0.1040892519684455
-0.88,1.4,40,0.85,0.5,30,4.568228022882047,0.060101090252650646,0.5182942968411822,14.621741922848715,-0.16648805858679816,0.11595938951855198
-0.92,1.3,50,0.85,0.4,30,2.9380568677340477,0.04769270975317008,0.517853422075684,14.32983536219542,-0.17088567659021547,0.09209692882207085
-0.88,1.3,60,0.85,0.3,50,2.478792777464047,0.043286092513103114,0.5177617335368166,14.465622947909118,-0.15734394551351993,0.0836023400520872
-0.88,1.1,60,0.85,0.4,50,3.729020200775884,0.05423103663943185,0.5176124361848295,14.91421762637773,-0.1822888113276473,0.10477151020395302
