ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
50,100,0.5,0.92,8,20,-0.2261630860444203,-0.28932274469441926,-0.08050938503841476,-0.17201089099964428,415,0.4963855421686747
50,100,0.6,0.97,8,10,-0.24453251783292346,-0.3176276400833538,-0.1175279133087811,-0.2697590083852063,412,0.4878640776699029
100,100,0.5,0.92,8,20,-0.24499359039880036,-0.323819934678413,-0.06231489467487694,-0.13910648813164128,409,0.4743276283618582
50,200,0.7,0.9,8,10,-0.245308612785283,-0.3206348293325865,-0.08579503171237723,-0.16324857895102407,402,0.4925373134328358
100,100,0.5,0.85,8,20,-0.2592836867174354,-0.4499691469218689,-0.035994248311118415,-0.0999519515050391,409,0.45232273838630804
100,100,0.6,0.95,8,20,-0.27020445768184154,-0.3504006959709033,-0.06567928198769668,-0.18607522796655662,409,0.4792176039119804
50,100,0.5,0.95,8,10,-0.27239345640794127,-0.35268150088731287,-0.12077110650294554,-0.20995713749499467,415,0.4746987951807229
100,100,0.9,0.97,8,10,-0.2875182088208356,-0.27830372117999613,-0.19106878999093735,-0.2472104768188661,325,0.47692307692307695
50,200,0.7,0.95,8,10,-0.2880475496486672,-0.3787030765871754,-0.13714797520871636,-0.25746636338781115,399,0.49122807017543857
50,100,0.6,0.9,8,10,-0.30842794446226923,-0.4528672267570488,-0.08869309724854635,-0.19572574498970008,413,0.43099273607748184
100,100,0.7,0.95,8,20,-0.31331359469406583,-0.40118131241974964,-0.08120478122444053,-0.18805005078183878,405,0.48148148148148145
100,100,0.6,0.97,8,20,-0.31506862003030794,-0.41576527630247334,-0.08755210822394133,-0.21019704509937487,409,0.48166259168704156
50,100,0.8,0.92,8,10,-0.31770160549226334,-0.39571841436497285,-0.12579204351813034,-0.16937221272074476,405,0.4641975308641975
50,100,0.7,0.9,8,10,-0.3250838613443391,-0.46871473570067673,-0.09348203216099826,-0.1970189895746941,412,0.4393203883495146
50,200,0.6,0.97,8,20,-0.32554556389402867,-0.3270564476920884,-0.1578922177396429,-0.2534778492253055,402,0.48507462686567165
50,100,0.8,0.85,8,20,-0.3267951293228989,-0.5103420951705039,-0.06985321565546365,-0.12085583718596948,413,0.44794188861985473
100,100,0.7,0.9,8,20,-0.3300925113625117,-0.49131022055664486,-0.07088702649405698,-0.16828818433879733,406,0.45320197044334976
50,100,0.7,0.92,8,10,-0.33055540726485155,-0.42651508971684426,-0.11326741169955734,-0.21521849199056275,411,0.46228710462287104
100,100,0.6,0.9,8,20,-0.33110025465191284,-0.4895932028415822,-0.07002641903816698,-0.15642976847039491,409,0.45965770171149145
100,100,0.9,0.97,8,20,-0.3333454272190717,-0.3211073772795688,-0.21313281635546122,-0.25380594627883635,325,0.47692307692307695
100,200,0.7,0.9,8,20,-0.34378904542328237,-0.47233796189258764,-0.09667639016607932,-0.11907052880306446,396,0.494949494949495
100,200,0.9,0.9,8,10,-0.34425620171880716,-0.41585173322998836,-0.14626065689113976,-0.1969149075267611,374,0.5053475935828877
100,100,0.7,0.92,8,20,-0.34955242503367856,-0.46320045485033695,-0.08964108797964365,-0.14855755776018764,406,0.4605911330049261
50,200,0.8,0.97,8,10,-0.3537591270128467,-0.4308562260814055,-0.2047607286194577,-0.28594864965683586,388,0.49226804123711343
50,100,0.5,0.97,8,10,-0.3561229244519515,-0.46036481012703434,-0.1540166340794249,-0.27060080749173254,415,0.4891566265060241
100,200,0.9,0.9,8,20,-0.36609696509570105,-0.44051437773219654,-0.15319807144721875,-0.18942772410306086,374,0.5080213903743316
100,100,0.9,0.92,8,10,-0.3749730885657705,-0.4860848881111503,-0.19095479876416566,-0.30063970813881047,357,0.43977591036414565
100,100,0.7,0.97,8,20,-0.3798960556332214,-0.49487211534904696,-0.1107817495466269,-0.21404385738437737,405,0.47901234567901235
50,200,0.5,0.9,8,20,-0.4012338884273309,-0.472575232362214,-0.1070713574915666,-0.18856572676550643,403,0.5086848635235732
50,100,0.6,0.92,8,10,-0.40384990939039206,-0.532300810736131,-0.13103890364777204,-0.22062703904456682,412,0.4563106796116505
100,200,0.9,0.92,8,10,-0.41075923326119373,-0.42441886540105583,-0.18655620756985114,-0.22057770083992623,363,0.509641873278237
100,100,0.9,0.95,8,10,-0.41156164669091766,-0.39238456386469295,-0.2390287858246568,-0.2899257428356694,333,0.4774774774774775
100,100,0.6,0.92,8,20,-0.4132555663547666,-0.5363364426324534,-0.10300780485937688,-0.15786279538784553,409,0.4669926650366748
100,100,0.6,0.85,8,10,-0.4133411467290351,-0.6941979935872797,-0.06611797351843263,-0.10322832224043677,409,0.4400977995110024
50,200,0.7,0.85,8,20,-0.42102018861116935,-0.5419054673287694,-0.08756148183395962,-0.10571058190306382,402,0.47761194029850745
