threshold,hold_period,top_n,annual_return,sharpe,max_dd,win_rate,total_return
-0.65,2,30,-48.642167739745034,-3.0732268253079393,-71.97662350883712,39.490445859872615,-71.21871946010417
-0.65,4,5,-16.45822210851331,-0.6116589944612683,-35.46187943839001,51.167728237791934,-28.544720624056353
-0.65,4,10,-12.197350767227466,-0.5076683472381234,-33.51522955951577,48.61995753715499,-21.582489371632676
-0.65,4,15,-17.597901834320417,-0.8680035714178216,-35.380750973546974,46.92144373673036,-30.35585295158154
-0.65,4,20,-18.290969000710888,-0.9332714581466915,-35.39138015045751,45.22292993630573,-31.446668549081792
-0.65,4,25,-20.31682037746778,-1.0947567556328555,-37.792627923530496,45.010615711252655,-34.58918167995344
-0.65,4,30,-20.943403276609406,-1.1629303606416168,-38.65411430110937,45.010615711252655,-35.54724642729048
-0.65,6,5,-4.075981705827402,-0.05250184421982965,-27.987246963664735,51.91489361702127,-7.467755206427862
-0.65,6,10,-0.1754149137059291,0.10110470360095176,-27.083672881773346,49.361702127659576,-0.3269144851239969
-0.65,6,15,-5.482799744413692,-0.20107192514615316,-27.908840333840747,47.4468085106383,-9.982740057105355
-0.65,6,20,-6.743713634252446,-0.28491204084472754,-27.73409241617405,48.29787234042553,-12.20954864949948
-0.65,6,25,-8.003081550465263,-0.3818215711250908,-27.41763853959408,47.02127659574468,-14.407779617375416
-0.65,6,30,-8.329679025045822,-0.41850868814045106,-27.068753372353537,47.23404255319149,-14.973632651865799
-0.65,8,5,4.9702210082577025,0.36444537690728834,-22.24505453521021,52.76595744680851,9.468702365261471
-0.65,8,10,7.720458716252487,0.5279611102774476,-21.191017594921536,51.48936170212765,14.878483914155204
-0.65,8,15,2.736935136471774,0.25821256140257554,-22.005452657844003,50.212765957446805,5.164957391409608
-0.65,8,20,0.8575619375188914,0.1443589240566576,-22.26620894233583,49.787234042553195,1.6053515170645571
-0.65,8,25,-0.11749715989932685,0.07311919134129531,-21.592074451127175,50.212765957446805,-0.21903014998518877
-0.65,8,30,-0.8666982428447101,0.02121686554089804,-22.065632329770533,49.148936170212764,-1.610398829245785
-0.65,13,5,17.252836374428515,1.1040928761405324,-18.614752625759866,52.87846481876333,34.47645382188797
-0.65,13,10,14.31759273074713,1.0366428342457188,-19.086101195672367,52.02558635394456,28.278797879914052
-0.65,13,15,9.184140783801498,0.7388434770964543,-19.40575844626623,50.74626865671642,17.76579890282166
-0.65,13,20,7.49641750644261,0.6359307409569902,-19.682785049967332,50.10660980810234,14.400442767681088
-0.65,13,25,6.311519193238291,0.554988298700549,-19.32207033353246,49.68017057569296,12.064726832306683
-0.65,13,30,5.179480708861228,0.47792608337158043,-19.779874574455658,49.89339019189765,9.854049122179198
-0.65,26,5,18.166238510514688,1.5723631932102309,-18.71222693158031,55.55555555555556,36.34230152005924
-0.65,26,10,11.648740672603264,1.1041283026918796,-19.29100946206589,54.27350427350427,22.70758149556551
-0.65,26,15,7.607312923048526,0.7639823939677165,-19.594457518612383,51.28205128205128,14.586841010629058
-0.65,26,20,6.91345729473134,0.7174107552312107,-19.589497498664688,51.28205128205128,13.21846576788188
-0.65,26,25,6.274072253439367,0.6624297256983304,-19.638396007174308,50.21367521367522,11.964233933993217
-0.65,26,30,5.669391531009138,0.6103180436350534,-20.173438109002362,50.85470085470085,10.784014342862335
-0.65,39,5,15.909686854403526,1.7773792729965106,-18.43713186364352,57.93991416309014,31.392512246484007
-0.65,39,10,11.441386477201409,1.343931738040786,-19.02609907181191,56.00858369098712,22.179599948666826
-0.65,39,15,9.560023210721425,1.1657736859727783,-19.083905480415375,53.21888412017167,18.3927051652498
-0.65,39,20,9.219877729598203,1.1586882199639004,-19.219889531664357,54.077253218884124,17.713892500329575
-0.65,39,25,8.833483330155566,1.1300076766254201,-19.450662365011695,54.077253218884124,16.94495816673214
-0.65,39,30,8.455962348508251,1.1021507996454392,-19.731800066251704,53.648068669527895,16.195917832535134
-0.65,52,5,14.657384358188796,1.9571448646376541,-16.018391352334515,58.620689655172406,28.639743839062916
-0.65,52,10,11.781743711926907,1.6778167458139357,-15.96546343456252,56.68103448275862,22.761968153981748
-0.65,52,15,10.817275227596902,1.5962486144787533,-15.982687317959021,54.956896551724135,20.818762933737965
-0.65,52,20,10.59476801287258,1.603051888771155,-16.16209202569916,56.25,20.37246850759442
-0.65,52,25,10.434088766001558,1.6016625540723741,-16.30123330651102,55.603448275862064,20.0506549755066
-0.65,52,30,10.144738606378723,1.5836174538609584,-16.550967747507716,55.603448275862064,19.47212805046965
-0.65,65,5,13.305278225155481,2.0254228579604363,-16.37631226382664,58.658008658008654,25.735696785842865
-0.65,65,10,11.2055122566598,1.8405803120278788,-15.932117122778088,57.14285714285714,21.49681992148258
-0.65,65,15,10.805437575074883,1.8293567249432028,-15.74420671976271,57.7922077922078,20.69667349546791
-0.65,65,20,10.280833428529878,1.7832264032241492,-15.629148970918006,56.926406926406926,19.65111200388754
-0.65,65,25,10.059592062484658,1.7753552478957184,-15.595469108971049,56.926406926406926,19.211407163934545
-0.65,65,30,10.092312839920158,1.8015495469352945,-15.768529726999292,58.00865800865801,19.276391510797474
-0.65,78,5,13.279411197463563,2.200399846628403,-15.644690323336107,59.78260869565217,25.5587641643501
