UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
20,208,-0.6,52,3,4.558759827622912,22.0653881730376,22417430.752181895,-0.9718170376280069,3.1475895428871e+54,0.6111888111888112,1430
20,104,-0.6,52,10,4.556098545997901,16.106694180178188,926045.0608059785,-0.9987142009390009,1.7266736734758921e+44,0.6066252587991718,1449
20,104,-0.6,52,5,4.555827395597678,16.103844167150825,924900.7929996992,-0.9987142009390009,1.710917773853388e+44,0.6066252587991718,1449
60,104,-0.6,26,3,4.555447510111425,13.977034128778332,5613.0521179959915,-0.796087368871599,6.273504268368311e+27,0.6275579809004093,1466
40,156,-0.2,26,5,4.550869801565868,14.413951685309442,11278.003129558225,-0.8550813620836448,1.106471027865623e+30,0.6210884353741497,1470
60,104,-0.6,26,5,4.5180371930290235,13.36656391671516,4655.565389754921,-0.8277321701241283,1.5682153449675658e+27,0.621418826739427,1466
60,104,-0.6,26,10,4.515270315469841,13.384110788765298,4581.167599167834,-0.830822098792919,1.391701286196951e+27,0.621418826739427,1466
20,104,-0.2,26,10,4.503308836164937,9.964004411785393,970.6306851716613,-0.8904998472023833,1.411343100285488e+22,0.5883561643835616,1460
20,104,-0.2,26,5,4.4928534113447505,9.923956655666005,950.698950769779,-0.8926390060060507,1.2103016075674222e+22,0.5876712328767123,1460
80,156,-0.4,52,10,4.484298066976801,24.438364335792656,31789981.32992127,-0.8992326342159664,4.1949800496448124e+55,0.6929884275017019,1469
80,156,-0.4,52,5,4.477111145700813,24.232793810678317,30691878.06412873,-0.8941290270256466,3.2325128337753986e+55,0.6943498978897209,1469
20,104,-0.4,26,3,4.470038441860593,10.636790138036428,1663.15038872319,-0.9007306891757293,7.625066199842524e+23,0.6017820424948594,1459
40,208,-0.4,26,3,4.469440951419215,12.647844012924011,10222.402472160256,-0.863916550717969,5.3400019188373034e+29,0.6152796725784447,1466
80,156,-0.4,52,3,4.467960426287822,24.45614911696768,29470081.41643976,-0.8830517867798249,2.3918820453205785e+55,0.6916269571136828,1469
20,104,-0.4,26,5,4.454019020389777,10.51812855935627,1581.8278646218316,-0.9007306891757293,5.2592168807790436e+23,0.5990404386566142,1459
20,104,-0.4,26,10,4.4527622647000475,10.515298907755122,1577.4366260924994,-0.9007306891757293,5.1519980741303713e+23,0.5990404386566142,1459
20,104,-0.2,26,3,4.443736580609949,9.81097521818242,874.8553188064127,-0.8909430160951841,6.538643287554875e+21,0.5863013698630137,1460
40,156,-0.4,26,5,4.4422757600517535,12.098347503735665,2033.230568682451,-0.8457576857217355,3.3791659481692993e+24,0.5963114754098361,1464
40,156,-0.4,26,3,4.4397366295931455,12.084032300772767,1995.6853745770768,-0.8307119021956417,2.943238476550103e+24,0.5976775956284153,1464
40,156,-0.4,26,10,4.433525260370163,12.000380388254328,1988.4121335412995,-0.8494928247856779,2.86467287038076e+24,0.5963114754098361,1464
60,208,-0.2,26,10,4.429043012023008,13.560984352289172,3817.7926764282106,-0.8388856105894739,3.603777023969171e+26,0.6330837304288631,1469
60,208,-0.2,26,5,4.403624756210969,13.504377696821303,3582.6605444759016,-0.8367361817322712,2.2497515932892926e+26,0.6317222600408441,1469
20,208,-0.4,52,3,4.3879248370556585,25.254099455513433,126516502.14575762,-0.9394966467429114,1.1752461864411941e+60,0.628099173553719,1452
60,52,-0.8,52,5,4.387905900079302,26.826618068211246,84724058.4769773,-0.975460676915955,6.012212887288847e+58,0.6700749829584185,1467
20,52,-0.2,26,10,4.387819113518546,10.964254636792095,1269.4790197545392,-0.8811191656237043,1.0306832350648864e+23,0.5982264665757162,1466
20,52,-0.2,26,5,4.3860363234819735,10.954042439151035,1264.024379725459,-0.8811191656237042,9.983233013618035e+22,0.5982264665757162,1466
20,208,-0.4,52,5,4.384561871771353,25.193682151038814,121240664.65632758,-0.9394966467429113,8.569912697429426e+59,0.6274104683195593,1452
20,208,-0.4,52,10,4.384561871771353,25.193682151038814,121240664.65632758,-0.9394966467429113,8.569912697429426e+59,0.6274104683195593,1452
60,208,-0.2,26,3,4.378350760886786,13.130871829842869,3217.642463313456,-0.8565753923641852,1.0144629637683208e+26,0.627637848876787,1469
20,52,-0.2,26,3,4.3746705089544236,11.007553316099722,1207.137940290223,-0.8790903931493426,7.0977370002013865e+22,0.596862210095498,1466
40,104,-0.4,52,5,4.345115917259677,24.392239512085922,250752488.7124861,-0.9602247315627265,1.874319663362564e+62,0.6721199727334697,1467
60,52,-0.8,52,3,4.3422694598267,27.058493527617962,57719768.85893896,-0.976463053668662,3.4933018785027236e+57,0.6680299931833674,1467
40,104,-0.4,52,10,4.319336378463333,24.187083589122818,215424561.06180632,-0.9602217526659351,6.079719054421773e+61,0.6721199727334697,1467
20,156,-0.2,26,5,4.300066860114637,9.279979449031606,717.2010344575268,-0.8827461841814864,1.5013898248972214e+21,0.595467032967033,1456
20,156,-0.2,26,10,4.299852207007682,9.263636562709157,714.9261819668818,-0.8827461841814863,1.466487823297937e+21,0.5947802197802198,1456
40,104,-0.4,52,3,4.253390940807866,24.49171482042603,245273126.54892716,-0.95897652936904,1.5911211930855243e+62,0.6707566462167689,1467
20,156,-0.2,26,3,4.251964770804021,9.17761463254438,651.0211676851558,-0.8883054695646635,7.331915343592435e+20,0.5934065934065934,1456
20,52,-0.4,26,3,4.248005184933857,11.407133530802673,1237.5031438474664,-0.84865589542516,8.531949502823999e+22,0.58731241473397,1466
